expression,reading,meaning,tags
就任,しゅうにん,"inauguration, assumption of office",JLPT N2
周辺,しゅうへん,"circumference, peripheral",JLPT N2
重役,じゅうやく,"director, high executive",JLPT N2
終了,しゅうりょう,"end, close, termination",JLPT N2
重量,じゅうりょう,heavyweight,JLPT N2
重力,じゅうりょく,gravity,JLPT N2
熟語,じゅくご,"idiom, kanji compound",JLPT N2
祝日,しゅくじつ,national holiday,JLPT N2
縮小,しゅくしょう,"reduction, curtailment",JLPT N2
受験,じゅけん,taking an examination,JLPT N2
主語,しゅご,(gram) subject,JLPT N2
主人,しゅじん,(one's own) husband,JLPT N2
出勤,しゅっきん,"going to work, at work",JLPT N2
述語,じゅつご,predicate,JLPT N2
出張,しゅっちょう,"official tour, business trip",JLPT N2
寿命,じゅみょう,life span,JLPT N2
主役,しゅやく,leading part,JLPT N2
受話器,じゅわき,(telephone) receiver,JLPT N2
循環,じゅんかん,"circulation, rotation, cycle",JLPT N2
巡査,じゅんさ,policeman,JLPT N2
順々,じゅんじゅん,"in order, in turn",JLPT N2
順序,じゅんじょ,"order, sequence, procedure",JLPT N2
純情,じゅんじょう,pure heart,JLPT N2
純粋,じゅんすい,"pure, genuine, unmixed",JLPT N2
初～,しょ～,first ~,JLPT N2
諸～,しょ～,various ~,JLPT N2
～所,～しょ,place,JLPT N2
～所,～じょ,place,JLPT N2
女～,じょ～,things done by women,JLPT N2
～女,～じょ,count for sisters,JLPT N2
省～,しょう～,economizing ~,JLPT N2
～省,～しょう,kind of ministry,JLPT N2
～商,～しょう,"merchant, business",JLPT N2
～勝,～しょう,count for victory,JLPT N2
～条,～じょう,counter for article,JLPT N2
～場,～じょう,"kind of field, ground",JLPT N2
～畳,～じょう,"count for tatami, mat",JLPT N2
消化,しょうか,digestion,JLPT N2
小学生,しょうがくせい,elementary school pupil,JLPT N2
しょうがない,しょうがない,It is not worth ~,JLPT N2
将棋,しょうぎ,Japanese chess,JLPT N2
蒸気,じょうき,"steam, vapor",JLPT N2
定規,じょうぎ,(measuring) ruler,JLPT N2
上級,じょうきゅう,"advanced level, high grade, senior",JLPT N2
商業,しょうぎょう,"commerce, trade, business",JLPT N2
消極的,しょうきょくてき,passive,JLPT N2
賞金,しょうきん,"prize, monetary award",JLPT N2
上下,じょうげ,"high and low, up and down",JLPT N2
障子,しょうじ,paper sliding door,JLPT N2
商社,しょうしゃ,trading company,JLPT N2
乗車,じょうしゃ,"taking a train, entraining",JLPT N2
上旬,じょうじゅん,first 10 days of month,JLPT N2
生ずる,しょうずる,"to cause, to arise, to be generated",JLPT N2
小数,しょうすう,"fraction (part of), decimal",JLPT N2
商店,しょうてん,"shop, business firm",JLPT N2
焦点,しょうてん,"focus, point",JLPT N2
消毒,しょうどく,disinfection,JLPT N2
勝敗,しょうはい,"victory or defeat, issue (of battle)",JLPT N2
蒸発,じょうはつ,evaporation; unexplained disappearance,JLPT N2
上品,じょうひん,"refined, elegant, well-mannered",JLPT N2
勝負,しょうぶ,"victory or defeat, game",JLPT N2
小便,しょうべん,"(col) urine, piss",JLPT N2
消防署,しょうぼうしょ,fire station,JLPT N2
正味,しょうみ,net (weight),JLPT N2
正面,しょうめん,front,JLPT N2
消耗,しょうもう,"exhaustion, consumption",JLPT N2
初級,しょきゅう,elementary level,JLPT N2
助教授,じょきょうじゅ,assistant professor,JLPT N2
～色,～しょく,kind of color,JLPT N2
食塩,しょくえん,table salt,JLPT N2
職人,しょくにん,"artisan, craftsman",JLPT N2
職場,しょくば,workplace,JLPT N2
初旬,しょじゅん,first 10 days of the month,JLPT N2
書籍,しょせき,"book, publication",JLPT N2
食器,しょっき,tableware,JLPT N2
ショップ,ショップ,a shop,JLPT N2
書店,しょてん,bookshop,JLPT N2
書道,しょどう,calligraphy,JLPT N2
初歩,しょほ,"elements, rudiments",JLPT N2
白髪,しらが,"white or grey hair, trendy hair bleaching",JLPT N2
シリーズ,シリーズ,series,JLPT N2
私立,しりつ,private (establishment),JLPT N2
資料,しりょう,"materials, data",JLPT N2
汁,しる,"juice, soup",JLPT N2
素人,しろうと,"layman, amateur, novice",JLPT N2
しわ (かおの～),しわ (かおの～),"wrinkles, creases",JLPT N2
芯,しん,"core, heart, wick",JLPT N2
新幹線,しんかんせん,"Shinkansen, ""Bullet Train""",JLPT N2
真空,しんくう,vacuum,JLPT N2
人事,じんじ,"human resources, personnel management",JLPT N2
信ずる,しんずる,to believe,JLPT N2
心身,しんしん,mind and body,JLPT N2
申請,しんせい,"application, request, petition",JLPT N2
人造,じんぞう,"man-made, synthetic, artificial",JLPT N2
寝台,しんだい,bed,JLPT N2
診断,しんだん,diagnosis,JLPT N2
侵入,しんにゅう,"invasion, raid, trespass",JLPT N2
人文科学,じんぶんかがく,"social sciences, humanities",JLPT N2
人命,じんめい,(human) life,JLPT N2
深夜,しんや,late at night,JLPT N2
森林,しんりん,"forest, woods",JLPT N2
親類,しんるい,relative(s) (same as 親戚 (しんせき)),JLPT N2
針路,しんろ,"course, direction",JLPT N2
神話,しんわ,"myth, legend",JLPT N2
水産,すいさん,"marine products, fisheries",JLPT N2
炊事,すいじ,cooking,JLPT N2
水蒸気,すいじょうき,"water vapor, steam",JLPT N2
水素,すいそ,hydrogen,JLPT N2
垂直,すいちょく,"vertical, perpendicular",JLPT N2
推定,すいてい,"presumption, assumption, estimation",JLPT N2
水滴,すいてき,drop of water,JLPT N2
水筒,すいとう,"canteen, flask, water bottle",JLPT N2
随筆,ずいひつ,"essays, miscellaneous writings",JLPT N2
水分,すいぶん,moisture,JLPT N2
水平,すいへい,"level, horizontal",JLPT N2
水平線,すいへいせん,horizon,JLPT N2
水面,すいめん,water's surface,JLPT N2
図々しい,ずうずうしい,"impudent, shameless",JLPT N2
ずうっと,ずうっと,"all the time, all the way",JLPT N2
末っ子,すえっこ,youngest child,JLPT N2
スカーフ,スカーフ,scarf,JLPT N2
図鑑,ずかん,picture book,JLPT N2
隙,すき,"unguarded moment, chance",JLPT N2
杉,すぎ,Japanese cedar,JLPT N2
好き嫌い,すききらい,"likes and dislikes, taste",JLPT N2
好き好き,すきずき,matter of taste,JLPT N2
透き通る,すきとおる,to be(come) transparent,JLPT N2
隙間,すきま,"crack, gap, opening",JLPT N2
～過ぎる,～すぎる,too much ~,JLPT N2
スクール,スクール,school,JLPT N2
図形,ずけい,figure,JLPT N2
鈴,すず,bell,JLPT N2
涼む,すずむ,"to cool oneself, to cool off",JLPT N2
スタート,スタート,start,JLPT N2
スチュワーデス,スチュワーデス,stewardess,JLPT N2
すっきり,すっきり,"shapely, clear, neat",JLPT N2
ステージ,ステージ,stage; performance,JLPT N2
ストッキング,ストッキング,stockings,JLPT N2
ストップ,ストップ,stop,JLPT N2
素直,すなお,"obedient, meek, docile",JLPT N2
頭脳,ずのう,"head, brains, intellect",JLPT N2
スピーカー,スピーカー,speaker,JLPT N2
図表,ずひょう,"chart, diagram, graph",JLPT N2
スマート,スマート,"smart, stylish, slim",JLPT N2
住まい,すまい,"dwelling, house",JLPT N2
すまない,すまない,sorry (phrase),JLPT N2
～済,～ずみ,finished,JLPT N2
相撲,すもう,sumo wrestling,JLPT N2
スライド,スライド,slide,JLPT N2
ずらす,ずらす,"to put off, to delay",JLPT N2
ずらり,ずらり,"in a line, in a row",JLPT N2
スリッパ,スリッパ,slippers,JLPT N2
狡い,ずるい,"sly, cunning",JLPT N2
寸法,すんぽう,"measurement, size, dimension",JLPT N2
税関,ぜいかん,customs,JLPT N2
製作,せいさく,"manufacture, production",JLPT N2
制作,せいさく,"work (e.g., film, book)",JLPT N2
清書,せいしょ,clean copy,JLPT N2
青少年,せいしょうねん,"youth, young person",JLPT N2
整数,せいすう,integer,JLPT N2
清掃,せいそう,cleaning,JLPT N2
生存,せいぞん,"existence, being, survival",JLPT N2
政党,せいとう,(member of) political party,JLPT N2
性能,せいのう,"ability, capability",JLPT N2
整備,せいび,"maintenance, overhaul",JLPT N2
成分,せいぶん,"ingredient, component, composition",JLPT N2
性別,せいべつ,"sex, gender",JLPT N2
正方形,せいほうけい,square,JLPT N2
正門,せいもん,"main gate, main entrance",JLPT N2
成立,せいりつ,"formation, establishment, completion",JLPT N2
西暦,せいれき,"Christian Era, after (Christ’s) death (A.D.)",JLPT N2
背負う,せおう,to be burdened with; to carry on (one's) back or shoulder(s),JLPT N2
～席,～せき,counter for seats,JLPT N2
赤道,せきどう,equator,JLPT N2
折角,せっかく,"with trouble, at great pains, long-awaited",JLPT N2
接近,せっきん,"getting closer, drawing nearer, approaching",JLPT N2
接する,せっする,to attend to (someone); to associate with,JLPT N2
せっせと,せっせと,"busily, away",JLPT N2
接続,せつぞく,"connection, union, join, link; changing trains",JLPT N2
瀬戸物,せともの,"earthenware, crockery, china",JLPT N2
ぜひとも,ぜひとも,by all means (with sense of not taking 'no' for an answer),JLPT N2
迫る,せまる,"to draw near, to press",JLPT N2
ゼミ,ゼミ,seminar,JLPT N2
せめて,せめて,at least,JLPT N2
セメント,セメント,cement,JLPT N2
台詞,せりふ,"speech, words, one's lines, remarks",JLPT N2
栓,せん,"stopper, cork, stopcock",JLPT N2
～船,～せん,counter for ships,JLPT N2
～戦,～せん,"counter for games, matches",JLPT N2
前～,ぜん～,"former, late ~, past ~",JLPT N2
～前,～ぜん,before ~,JLPT N2
前後,ぜんご,"front and back, before and after",JLPT N2
全集,ぜんしゅう,complete works,JLPT N2
扇子,せんす,folding fan,JLPT N2
専制,せんせい,"despotism, autocracy",JLPT N2
先々月,せんせんげつ,month before last,JLPT N2
先々週,せんせんしゅう,2 weeks before,JLPT N2
先祖,せんぞ,ancestor,JLPT N2
先端,せんたん,"pointed end, tip",JLPT N2
センチ,センチ,centimeter,JLPT N2
先頭,せんとう,"head, lead, vanguard",JLPT N2
全般,ぜんぱん,"(the) whole, general",JLPT N2
扇風機,せんぷうき,electric fan,JLPT N2
洗面,せんめん,"wash up (one's face), have a wash",JLPT N2
全力,ぜんりょく,"all one's power, whole energy",JLPT N2
線路,せんろ,"line, track, roadbed",JLPT N2
～沿い,～そい,along,JLPT N2
総～,そう～,"gross, general, entire",JLPT N2
～艘,～そう,counter for ships,JLPT N2
相違,そうい,"difference, discrepancy, variation",JLPT N2
そういえば,そういえば,which reminds me ..,JLPT N2
雑巾,ぞうきん,"house-cloth, dust cloth",JLPT N2
増減,ぞうげん,"increase and decrease, fluctuation",JLPT N2
倉庫,そうこ,"storehouse, warehouse",JLPT N2
相互,そうご,"mutual, reciprocal",JLPT N2
創作,そうさく,"production, creation, work",JLPT N2
葬式,そうしき,funeral,JLPT N2
