expression,reading,meaning,tags
造船,ぞうせん,shipbuilding,JLPT N2
騒々しい,そうぞうしい,"noisy, boisterous",JLPT N2
増大,ぞうだい,"increase, growth",JLPT N2
そうっと,そうっと,"softly, cautiously, gently",JLPT N2
送別,そうべつ,"farewell, send-off",JLPT N2
草履,ぞうり,Japanese sandals (footwear),JLPT N2
総理大臣,そうりだいじん,Prime Minister,JLPT N2
送料,そうりょう,"postage, carriage",JLPT N2
～足,～そく,counter for shoes,JLPT N2
属する,ぞくする,"to belong to, to come under",JLPT N2
続々,ぞくぞく,"successively, one after another",JLPT N2
速達,そくたつ,"express, special delivery",JLPT N2
測定,そくてい,measurement,JLPT N2
測量,そくりょう,"measurement, surveying",JLPT N2
速力,そくりょく,speed,JLPT N2
素質,そしつ,"talent, capability",JLPT N2
祖先,そせん,ancestor(s),JLPT N2
そそっかしい,そそっかしい,"careless, thoughtless",JLPT N2
卒直,そっちょく,"frank, candid, honest",JLPT N2
そのころ,そのころ,"in those days, at that time, then",JLPT N2
そのため,そのため,"hence, for that reason",JLPT N2
その他,そのほか,besides,JLPT N2
剃る,そる,to shave,JLPT N2
それなのに,それなのに,"though, although",JLPT N2
それなら,それなら,"If that's the case..., If so..., That being the case...",JLPT N2
それはいけませんね (かん),それはいけませんね (かん),that's not good,JLPT N2
逸れる,それる,"to stray (turn) from subject, to go astray",JLPT N2
算盤,そろばん,abacus,JLPT N2
存じる,ぞんじる,(humble) to know,JLPT N2
存ずる,ぞんずる,(humble) to know,JLPT N2
損得,そんとく,"loss and gain, advantage and disadvantage",JLPT N2
田ぼ,たんぼ,"paddy field, farm",JLPT N2
第～,だい～,~th,JLPT N2
だいいち (とりわけ),だいいち (とりわけ),"first, foremost,&nbsp;&nbsp;#1",JLPT N2
大学院,だいがくいん,graduate school,JLPT N2
大工,だいく,carpenter,JLPT N2
体系,たいけい,"system, organization",JLPT N2
太鼓,たいこ,"drum, tambourine",JLPT N2
対策,たいさく,"counter-plan, counter-measure",JLPT N2
大して,たいして,"(not so) much, (not) very",JLPT N2
大小,だいしょう,size,JLPT N2
体制,たいせい,"order, system, structure",JLPT N2
体積,たいせき,"capacity, volume",JLPT N2
大層,たいそう,"very much, greatly",JLPT N2
体操,たいそう,"gymnastics, physical exercises, calisthenics",JLPT N2
大分,だいぶん,"considerably, greatly, a lot",JLPT N2
大木,たいぼく,large tree,JLPT N2
代名詞,だいめいし,pronoun,JLPT N2
タイア,タイア,"tire, tyre",JLPT N2
ダイヤグラム,ダイヤグラム,diagram,JLPT N2
ダイヤモンド,ダイヤモンド,diamond,JLPT N2
ダイヤル,ダイヤル,dial,JLPT N2
対立,たいりつ,"confrontation, opposition, antagonism",JLPT N2
田植え,たうえ,rice planting,JLPT N2
絶えず,たえず,constantly,JLPT N2
楕円,だえん,ellipse,JLPT N2
耕す,たがやす,"to till, to plow, to cultivate",JLPT N2
滝,たき,waterfall,JLPT N2
蓄える,たくわえる,"to save, to store, to lay in stock",JLPT N2
竹,たけ,bamboo,JLPT N2
ただいま,ただいま,"Here I am, I'm home!",JLPT N2
但し,ただし,"but, however, provided that",JLPT N2
立ち止まる,たちどまる,"to stop, to halt, to stand still",JLPT N2
たちまち,たちまち,"instantly, suddenly, all at once",JLPT N2
発,はつ,"to depart (e.g., on a plane, train)",JLPT N2
脱線,だっせん,"derailment, digression",JLPT N2
妥当,だとう,"proper, appropriate",JLPT N2
例える,たとえる,"to compare, to liken",JLPT N2
頼もしい,たのもしい,"reliable, promising",JLPT N2
ダブル,ダブル,double,JLPT N2
ダム,ダム,dam,JLPT N2
溜息,ためいき,a sigh,JLPT N2
ためらう,ためらう,to be hesitant,JLPT N2
～だらけ,～だらけ,"be full of ~, be filled with ~",JLPT N2
だらしない,だらしない,"slovenly, loose, a slut",JLPT N2
足る,たる,"to be sufficient, to be enough",JLPT N2
短～,たん～,short ~,JLPT N2
～団,～だん,"group, corps, party",JLPT N2
オーケストラ,オーケストラ,orchestra,JLPT N2
おおざっぱ,おおざっぱ,"rough (not precise), broad, sketchy",JLPT N2
大通り,おおどおり,main street,JLPT N2
オートメーション,オートメーション,automation,JLPT N2
大凡,おおよそ,"about, approximately",JLPT N2
お帰り,おかえり,"return, welcome",JLPT N2
おかけください,おかけください,please sit down,JLPT N2
おかげさまで,おかげさまで,"Thanks to god, thanks to you",JLPT N2
おかず,おかず,"side dish, accompaniment for rice dishes",JLPT N2
おかまいなく,おかまいなく,please don't fuss over me,JLPT N2
拝む,おがむ,"to worship, to pray",JLPT N2
お代わり,おかわり,"second helping, another cup",JLPT N2
補う,おぎなう,to compensate for,JLPT N2
お気の毒に,おきのどくに,I'm sorry to hear that…,JLPT N2
屋外,おくがい,outdoors,JLPT N2
送り仮名,おくりがな,part of word written in kana,JLPT N2
お元気で,おげんきで,Take care',JLPT N2
怠る,おこたる,"to neglect, to fail",JLPT N2
お先に,おさきに,"before, after you",JLPT N2
伯父,おじ,(humble) uncle (older than one's parent),JLPT N2
叔父,おじ,uncle (younger than one's parent),JLPT N2
惜しい,おしい,"regrettable, disappointing",JLPT N2
伯父さん,おじさん,"(hon.) middle-aged gentleman, uncle",JLPT N2
小父さん,おじさん,"(hon.) middle-aged gentleman, uncle",JLPT N2
叔父さん,おじさん,"(hon.) middle-aged gentleman, uncle",JLPT N2
お邪魔します,おじゃまします,Excuse me for disturbing you,JLPT N2
お世話になりました,おせわになりました,I've been in your care,JLPT N2
お大事に,おだいじに,"Take care of yourself, Take care!, Get well soon",JLPT N2
落着く,おちつく,"to calm down, to settle down",JLPT N2
お出掛け,おでかけ,outing,JLPT N2
お手伝いさん,おてつだいさん,maid,JLPT N2
脅かす,おどかす,"to threaten, to coerce",JLPT N2
落し物,おとしもの,lost property,JLPT N2
驚かす,おどろかす,"to surprise, to frighten",JLPT N2
お願いします,おねがいします,"Please (lit., I request)",JLPT N2
各々,おのおの,"each, every, either",JLPT N2
伯母,おば,(humble) aunt (older than one's parent),JLPT N2
叔母,おば,aunt (younger than one's parent),JLPT N2
小母さん,おばさん,"lady, woman, ma'am",JLPT N2
おはよう,おはよう,(abbr.) Good morning,JLPT N2
お参り,おまいり,"worship, shrine visit",JLPT N2
お待たせしました,おまたせしました,Sorry to have kept you waiting,JLPT N2
お待ちください,おまちください,Please wait a moment,JLPT N2
おまちどおさま,おまちどおさま,Sorry to have kept you waiting,JLPT N2
おめでたい,おめでたい,"happy event, matter for congratulation",JLPT N2
思い掛けない,おもいがけない,"unexpected, casual",JLPT N2
思い切り,おもいきり,"with all one's strength (heart), resignation, resolution",JLPT N2
思い込む,おもいこむ,"to be under impression that, to be convinced that",JLPT N2
思いっ切り,おもいっきり,"very, much, fully",JLPT N2
重たい,おもたい,"heavy, massive, serious",JLPT N2
お休み,おやすみ,"holiday, absence; (exp.) Good night",JLPT N2
おやつ,おやつ,"between meal snack, afternoon refreshment",JLPT N2
親指,おやゆび,thumb,JLPT N2
オルガン,オルガン,organ,JLPT N2
恩恵,おんけい,"blessing, benefit",JLPT N2
温室,おんしつ,greenhouse,JLPT N2
温泉,おんせん,"spa, hot spring",JLPT N2
温帯,おんたい,temperate zone,JLPT N2
御中,おんちゅう,Messrs.,JLPT N2
女の人,おんなのひと,woman,JLPT N2
～日,～か,counter for days,JLPT N2
～下,～か,under ~,JLPT N2
～化,～か,action of making something,JLPT N2
～科,～か,"family, group, course",JLPT N2
～歌,～か,song of ~,JLPT N2
～画,～が,"picture, painting",JLPT N2
カーブ,カーブ,curve; curve ball (baseball),JLPT N2
外～,がい～,"foreign ~, outside ~",JLPT N2
～外,～がい,out of ~,JLPT N2
開会,かいかい,opening of a meeting,JLPT N2
会館,かいかん,"meeting hall, assembly hall",JLPT N2
改札,かいさつ,examination of tickets,JLPT N2
解散,かいさん,"breakup, dissolution",JLPT N2
海水浴,かいすいよく,"sea bathing, seawater bath",JLPT N2
回数,かいすう,"number of times, frequency",JLPT N2
回数券,かいすうけん,book of tickets,JLPT N2
改正,かいせい,"revision, amendment, alteration",JLPT N2
快晴,かいせい,good weather,JLPT N2
解説,かいせつ,"explanation, commentary",JLPT N2
改造,かいぞう,remodeling,JLPT N2
開通,かいつう,"opening, open",JLPT N2
回転,かいてん,"rotation, turning",JLPT N2
解答,かいとう,"answer, solution",JLPT N2
回答,かいとう,"reply, answer",JLPT N2
外部,がいぶ,"the outside, external",JLPT N2
解放,かいほう,"release, liberation, emancipation",JLPT N2
開放,かいほう,"open, throw open, liberalization",JLPT N2
海洋,かいよう,ocean,JLPT N2
概論,がいろん,"introduction, general remark",JLPT N2
却って,かえって,"on the contrary, rather",JLPT N2
家屋,かおく,"house, building",JLPT N2
係わる,かかわる,"to concern oneself in, to be involved in",JLPT N2
書留,かきとめ,registered mail,JLPT N2
書取,かきとり,dictation,JLPT N2
垣根,かきね,hedge,JLPT N2
限り,かぎり,"limit(s), as far as possible",JLPT N2
各～,かく～,"every ~, each ~",JLPT N2
架空,かくう,"imaginary, fiction, fanciful",JLPT N2
各自,かくじ,"individual, each",JLPT N2
拡充,かくじゅう,expansion,JLPT N2
学術,がくじゅつ,"science, learning, scholarship",JLPT N2
各地,かくち,various parts of the country,JLPT N2
拡張,かくちょう,"expansion, extension",JLPT N2
角度,かくど,angle,JLPT N2
学年,がくねん,"year in school, grade in school",JLPT N2
格別,かくべつ,exceptional,JLPT N2
確率,かくりつ,probability,JLPT N2
学力,がくりょく,"scholarship, knowledge",JLPT N2
掛け算,かけざん,multiplication,JLPT N2
可決,かけつ,"approval, adoption (e.g., motion, bill), passage",JLPT N2
火口,かこう,crater (of a volcano),JLPT N2
下降,かこう,"decline, descent, fall",JLPT N2
火山,かざん,volcano,JLPT N2
かしこまりました,かしこまりました,Certainly,JLPT N2
貸し出し,かしだし,"lending, loaning",JLPT N2
過失,かしつ,"error, mistake, negligence",JLPT N2
果実,かじつ,fruit,JLPT N2
貸間,かしま,room to let,JLPT N2
貸家,かしや,house for rent,JLPT N2
箇所,かしょ,"place, point, part",JLPT N2
過剰,かじょう,"excess, over-",JLPT N2
かじる,かじる,"to chew, to bite (at)",JLPT N2
課税,かぜい,taxation,JLPT N2
下線,かせん,"underline, underscore",JLPT N2
カセット,カセット,cassette (tape),JLPT N2
加速,かそく,acceleration,JLPT N2
加速度,かそくど,acceleration,JLPT N2
塊,かたまり,"lump, mass, cluster",JLPT N2
固まる,かたまる,"to harden, to solidify, to become firm",JLPT N2
片道,かたみち,one-way (trip),JLPT N2
傾く,かたむく,"to incline toward, to slant, to lurch",JLPT N2
片寄る,かたよる,"to be one-sided, to incline, to be partial",JLPT N2
～がち,～がち,tend to do ~,JLPT N2
学科,がっか,"study subject, course of study",JLPT N2
学会,がっかい,academic conference,JLPT N2
学級,がっきゅう,class,JLPT N2
担ぐ,かつぐ,"to shoulder, to carry on shoulder",JLPT N2
括弧,かっこ,"parenthesis, brackets",JLPT N2
活字,かつじ,printing type,JLPT N2
勝手に,かってに,"arbitrarily,",JLPT N2
活力,かつりょく,"vitality, energy",JLPT N2
仮名,かな,kana,JLPT N2
仮名遣い,かなづかい,"kana orthography, syllabary spelling",JLPT N2
加熱,かねつ,heating,JLPT N2
兼ねる,かねる,to simultaneously serve two or more functions,JLPT N2
カバー,カバー,"cover (e.g., book)",JLPT N2
過半数,かはんすう,majority,JLPT N2
かび (～がはえる),かび (～がはえる),"mold, mildew",JLPT N2
被せる,かぶせる,to cover (with something),JLPT N2
釜,かま,"iron pot, kettle",JLPT N2
構いません,かまいません,it's all right; one doesn’t mind,JLPT N2
紙屑,かみくず,wastepaper,JLPT N2
神様,かみさま,god,JLPT N2
剃刀,かみそり,razor,JLPT N2
ガム,ガム,chewing gum,JLPT N2
貨物,かもつ,"cargo, freight",JLPT N2
カラー,カラー,"collar, color",JLPT N2
からかう,からかう,"to ridicule, to make fun of",JLPT N2
空っぽ,からっぽ,"empty, vacant, hollow",JLPT N2
かるた,かるた,playing cards (POR: carta),JLPT N2
枯れる,かれる,"to wither, to die (plant), to be blasted (plant)",JLPT N2
カロリー,カロリー,calorie,JLPT N2
可愛がる,かわいがる,"to love, to be affectionate",JLPT N2
為替,かわせ,"money order, exchange",JLPT N2
瓦,かわら,roof tile,JLPT N2
～刊,～かん,"~ issued (magazine, newspaper)",JLPT N2
～間,～かん,"between, during",JLPT N2
～巻,～かん,volume,JLPT N2
～館,～かん,"~ hall, ~ building",JLPT N2
～感,～かん,"feeling, sense, impression",JLPT N2
換気,かんき,ventilation,JLPT N2
感激,かんげき,"deep emotion, impression, inspiration",JLPT N2
関西,かんさい,"south-western half of Japan, including Osaka",JLPT N2
元日,がんじつ,New Year's Day,JLPT N2
鑑賞,かんしょう,appreciation,JLPT N2
感ずる,かんずる,"to feel, to sense",JLPT N2
間接,かんせつ,"indirect, indirectness",JLPT N2
観測,かんそく,observation,JLPT N2
寒帯,かんたい,frigid zone,JLPT N2
官庁,かんちょう,"government office, authorities",JLPT N2
勘違い,かんちがい,"misunderstanding, wrong guess",JLPT N2
缶詰,かんづめ,"canning, canned goods,",JLPT N2
乾電池,かんでんち,"dry cell, battery",JLPT N2
関東,かんとう,"eastern half of Japan, including Tokyo",JLPT N2
観念,かんねん,"idea, notion; sense",JLPT N2
乾杯,かんぱい,Cheers! (a toast),JLPT N2
看板,かんばん,"sign, signboard",JLPT N2
看病,かんびょう,nursing (a patient),JLPT N2
冠,かんむり,"crown, wreath",JLPT N2
漢和,かんわ,"Chinese Character-Japanese (e.g., dictionary)",JLPT N2
～期,～き,"~age, ~period",JLPT N2
～器,～き,"device, equipment",JLPT N2
～機,～き,machine,JLPT N2
気圧,きあつ,atmospheric pressure,JLPT N2
着替え,きがえ,"changing clothes, change of clothes",JLPT N2
着替える,きがえる,to change (one's) clothes,JLPT N2
機関車,きかんしゃ,"locomotive, engine",JLPT N2
飢饉,ききん,famine,JLPT N2
器具,きぐ,instrument,JLPT N2
記号,きごう,"symbol, code",JLPT N2
刻む,きざむ,"to mince, to carve, to engrave",JLPT N2
儀式,ぎしき,"ceremony, rite, ritual",JLPT N2
基準,きじゅん,"standard, basis, criteria",JLPT N2
規準,きじゅん,"standard, basis, criteria",JLPT N2
起床,きしょう,"rising, getting out of bed",JLPT N2
着せる,きせる,to put on clothes,JLPT N2
基礎,きそ,"foundation, basis",JLPT N2
基地,きち,base,JLPT N2
きっかけ,きっかけ,"prompt, trigger, cue",JLPT N2
ぎっしり,ぎっしり,"tightly, fully",JLPT N2
基盤,きばん,"foundation, basis",JLPT N2
～気味,～ぎみ,slightly ~,JLPT N2
客席,きゃくせき,guest seating,JLPT N2
客間,きゃくま,"parlor, guest room",JLPT N2
ギャング,ギャング,gang,JLPT N2
キャンパス,キャンパス,campus,JLPT N2
休業,きゅうぎょう,"closure, shutdown, holiday",JLPT N2
休講,きゅうこう,lecture canceled,JLPT N2
給与,きゅうよ,salary,JLPT N2
休養,きゅうよう,"rest, break, recreation",JLPT N2
清い,きよい,"clear, pure, noble",JLPT N2
～教,～きょう,religion,JLPT N2
～行,～ぎょう,"line, row",JLPT N2
～業,～ぎょう,type of business,JLPT N2
強化,きょうか,"strengthen, intensify, reinforce",JLPT N2
境界,きょうかい,boundary,JLPT N2
共産～,きょうさん～,communist ~,JLPT N2
行事,ぎょうじ,"event, function",JLPT N2
恐縮,きょうしゅく,sorry to trouble,JLPT N2
教養,きょうよう,"culture, education, sophistication",JLPT N2
行列,ぎょうれつ,"line, procession; matrix (math)",JLPT N2
漁業,ぎょぎょう,fishing (industry),JLPT N2
曲線,きょくせん,curve,JLPT N2
規律,きりつ,"order, rules, law",JLPT N2
斬る,きる,"to behead, to murder",JLPT N2
～きる,～きる,"nevertheless, to carry through",JLPT N2
～切れ,～きれ,out of ~,JLPT N2
気を付ける,きをつける,"to be careful, to pay attention, to take care",JLPT N2
金魚,きんぎょ,goldfish,JLPT N2
区域,くいき,"zone, district, area",JLPT N2
空～,くう～,empty ~,JLPT N2
偶数,ぐうすう,even number,JLPT N2
空想,くうそう,"daydream, fantasy",JLPT N2
空中,くうちゅう,"sky, air",JLPT N2
クーラー,クーラー,air conditioner,JLPT N2
釘,くぎ,nail,JLPT N2
区切る,くぎる,"to punctuate, to cut off, to mark off",JLPT N2
櫛,くし,comb,JLPT N2
くしゃみ,くしゃみ,sneeze,JLPT N2
苦情,くじょう,"complaint, grievance, grumble",JLPT N2
苦心,くしん,"pain, trouble",JLPT N2
屑,くず,"waste, scrap",JLPT N2
崩す,くずす,"to destroy, to make change (money)",JLPT N2
薬指,くすりゆび,ring finger,JLPT N2
崩れる,くずれる,"to collapse, to crumble",JLPT N2
砕く,くだく,"to break, to smash",JLPT N2
砕ける,くだける,"to break, to be broken",JLPT N2
くたびれる,くたびれる,"to get tired, to wear out",JLPT N2
くだらない,くだらない,"good-for-nothing, stupid, worthless",JLPT N2
～口,～くち,"~ opening; ~ entrance, ~ exit",JLPT N2
唇,くちびる,lip,JLPT N2
口紅,くちべに,lipstick,JLPT N2
くっつく,くっつく,"to adhere to, to keep close to",JLPT N2
くっつける,くっつける,to attach,JLPT N2
くどい,くどい,"verbose, importunate, heavy (taste)",JLPT N2
句読点,くとうてん,punctuation marks,JLPT N2
