expression,reading,meaning,tags
失礼,しつれい,"discourtesy, impoliteness; Excuse me",JLPT N4
ごみ,ごみ,"trash, garbage",JLPT N4
アフリカ,アフリカ,Africa,JLPT N4
点,てん,"mark, score, grade; point, dot",JLPT N4
一生懸命,いっしょうけんめい,"very hard (as in ""to work hard""), with utmost effort",JLPT N4
今度,こんど,"now, this time, near future, one of these days, next time",JLPT N4
機会,きかい,"chance, opportunity",JLPT N4
建てる,たてる,to build,JLPT N4
複雑,ふくざつ,"complexity, complication",JLPT N4
彼,かれ,"he, boyfriend",JLPT N4
いらっしゃる,いらっしゃる,"-- honorific expression for いく, くる, and いる --",JLPT N4
布団,ふとん,futon,JLPT N4
大事,だいじ,"important, valuable, serious matter",JLPT N4
贈り物,おくりもの,a gift; a present,JLPT N4
泥棒,どろぼう,thief; burglar,JLPT N4
～製,～せい,made in ~,JLPT N4
注意,ちゅうい,"caution, attention",JLPT N4
台風,たいふう,typhoon,JLPT N4
日,ひ,"sun, sunshine, day",JLPT N4
～軒,～けん,counter for houses,JLPT N4
そう,そう,"really, (is that) so; yes, right",JLPT N4
通る,とおる,"to pass (by), to go through",JLPT N4
過ぎる,すぎる,"to exceed, to go beyond",JLPT N4
レポート; リポート,レポート; リポート,report,JLPT N4
葉,は,leaf,JLPT N4
必要,ひつよう,necessary,JLPT N4
課長,かちょう,section manager,JLPT N4
地震,じしん,earthquake,JLPT N4
すると,すると,"and, then",JLPT N4
止める,やめる,"to end, to stop",JLPT N4
ガラス,ガラス,"glass, pane",JLPT N4
～学部,～がくぶ,department of a university,JLPT N4
厳しい,きびしい,hard; rigorous; strict,JLPT N4
エスカレーター,エスカレーター,escalator,JLPT N4
人口,じんこう,population,JLPT N4
月,つき,moon,JLPT N4
絹,きぬ,silk,JLPT N4
ちっとも,ちっとも,not at all (neg. verb),JLPT N4
深い,ふかい,"deep, profound",JLPT N4
壊れる,こわれる,"to be broken, to break",JLPT N4
揺れる,ゆれる,"to shake, to sway",JLPT N4
落る,おちる,"to fall, to drop",JLPT N4
できるだけ,できるだけ,"if at all possible, as much as possible",JLPT N4
悲しい,かなしい,"sad, sorrowful",JLPT N4
中学校,ちゅうがっこう,junior high school pupil,JLPT N4
ガス,ガス,gas,JLPT N4
祈る,いのる,to pray; to wish,JLPT N4
盛ん,さかん,"prosperous, active, thriving",JLPT N4
アルバイト,アルバイト,part-time job,JLPT N4
起こす,おこす,to wake (someone) up,JLPT N4
致す,いたす,-- extra-modest expression for する --,JLPT N4
噛む,かむ,"to bite, to chew",JLPT N4
赤ちゃん,あかちゃん,"baby, infant",JLPT N4
浅い,あさい,"shallow, superficial",JLPT N4
うそ,嘘,lie,JLPT N4
小説,しょうせつ,novel,JLPT N4
親,おや,a parent,JLPT N4
それに,それに,moreover; besides,JLPT N4
西洋,せいよう,"the West, Western countries",JLPT N4
思う,おもう,"to think, to feel",JLPT N4
パート (タイム),パート (タイム),part time (esp. female part time employees),JLPT N4
時代,じだい,"age, period, epoch, era",JLPT N4
申し上げる,もうしあげる,"(humble)to say, to tell",JLPT N4
～式,～しき,~ ceremony; ~ style,JLPT N4
出席,しゅっせきする,attendance,JLPT N4
～家,～か,person who is specialized in ~,JLPT N4
迎える,むかえる,to welcome; to meet; to greet,JLPT N4
触る,さわる,"to touch, to feel",JLPT N4
建て,～だて,"~ storied, separate housing",JLPT N4
社長,しゃちょう,president of a company,JLPT N4
動物園,どうぶつえん,zoo,JLPT N4
捕まえる,つかまえる,"to catch, to arrest",JLPT N4
季節,きせつ,season (in reference to weather),JLPT N4
寄る,よる,to stop by,JLPT N4
決まる,きまる,to be set; fixed (v.i.),JLPT N4
開く,ひらく,to open; to hold (an event),JLPT N4
逃げる,にげる,"to escape, to run away",JLPT N4
だから,だから,so; therefore,JLPT N4
残念,ざんねん,regret; regrettable,JLPT N4
畳,たたみ,tatami mat (Japanese straw mat),JLPT N4
丁寧,ていねい,"polite, courteous, careful",JLPT N4
地理,ちり,geography,JLPT N4
さっき,さっき,a little while ago,JLPT N4
怖い,こわい,"scary, frightening",JLPT N4
包む,つつむ,"to wrap, to cover",JLPT N4
なるべく,なるべく,"if possible, as much as possible",JLPT N4
無理,むり,"unreasonable, impossible",JLPT N4
サンドイッチ,サンドイッチ,sandwich,JLPT N4
会議室,かいぎしつ,conference room,JLPT N4
品物,しなもの,goods,JLPT N4
人形,にんぎょう,"doll, figure",JLPT N4
利用,りよう,"use, utilization",JLPT N4
飾る,かざる,"to decorate, to adorn",JLPT N4
止める,とめる,to stop (something),JLPT N4
恥ずかしい,はずかしい,"ashamed, embarrassed",JLPT N4
いくら～ても,いくら～ても,however much one may ~,JLPT N4
用事,ようじ,business to take care of; tasks; errands,JLPT N4
ビル,ビル,(abbr.) building,JLPT N4
けんかする,けんかする,quarrel,JLPT N4
頑張る,がんばる,"to try one's best, to try hard, to persist",JLPT N4
投げる,なげる,"to pitch, to cast away",JLPT N4
故障,こしょうする,breakdown,JLPT N4
力,ちから,"strength, power",JLPT N4
受ける,うける,"to take (an examination, interview, etc.); to receive",JLPT N4
気分,きぶん,"feeling, mood",JLPT N4
間違える,まちがえる,to make a mistake,JLPT N4
そんな,そんな,"such, like that, that sort of",JLPT N4
星,ほし,star,JLPT N4
場合,ばあい,"case, situation",JLPT N4
やっと,やっと,"at last, finally",JLPT N4
足りる,たりる,to be sufficient; to be enough,JLPT N4
行う,おこなう,to carry out; to conduct (typically used in written language),JLPT N4
ぶどう,ぶどう,grapes,JLPT N4
無くなる,なくなる,"to disappear, to get lost",JLPT N4
準備,じゅんびする,prepare,JLPT N4
世界,せかい,world,JLPT N4
住所,じゅうしょ,address; place of residence,JLPT N4
再来月,さらいげつ,the month after next,JLPT N4
林,はやし,"woods, forest",JLPT N4
倍,ばい,double,JLPT N4
痩せる,やせる,to lose weight,JLPT N4
線,せん,"line, wire",JLPT N4
戦争,せんそう,war,JLPT N4
決める,きめる,to decide (v.t.),JLPT N4
調べる,しらべる,to check; to look up; to inquire; to search,JLPT N4
寝坊,ねぼう,sleeping in late,JLPT N4
パパ,パパ,"papa, daddy",JLPT N4
光る,ひかる,"to shine, to glitter",JLPT N4
夫,おっと,husband,JLPT N4
雲,くも,cloud,JLPT N4
坂,さか,"slope, hill",JLPT N4
～(て) しまう,～(て) しまう,to end up ~,JLPT N4
飛行場,ひこうじょう,airport,JLPT N4
柔道,じゅうどう,judo,JLPT N4
決して,けっして,never,JLPT N4
事務所,じむしょ,office,JLPT N4
連絡,れんらく,"communication, contact, connection",JLPT N4
小学校,しょうがっこう,elementary school,JLPT N4
客,きゃく,"guest, customer",JLPT N4
昔,むかし,old days; past,JLPT N4
美しい,うつくしい,"beautiful, lovely",JLPT N4
捨てる,すてる,"throw away (trash), dump, discard",JLPT N4
なさる,なさる,-- honorific expression for する --,JLPT N4
事,こと,"thing(s), matter(s), fact",JLPT N4
どんどん,どんどん,quickly and steadily; at a rapid pace,JLPT N4
試合,しあい,"match, game, competition",JLPT N4
適当,てきとう,"fitness, suitability",JLPT N4
素晴らしい,すばらしい,wonderful; terrific,JLPT N4
美術館,びじゅつかん,"art gallery, art museum",JLPT N4
文法,ぶんぽう,grammar,JLPT N4
終わり,おわり,end,JLPT N4
壁,かべ,wall,JLPT N4
一度,いちど,"once, one time",JLPT N4
お礼,おれい,expression of gratitude; thanking; gift of appreciation; bow,JLPT N4
親切,しんせつ,kindness,JLPT N4
知らせる,しらせる,to notify,JLPT N4
歯医者,はいしゃ,dentist,JLPT N4
熱心,ねっしん,enthusiasm,JLPT N4
始める,はじめる,"to start, to begin",JLPT N4
もらう,もらう,to receive,JLPT N4
泣く,なく,to cry,JLPT N4
治る,なおる,to get better; to recover from illness (v.i.),JLPT N4
熱,ねつ,"fever, temperature",JLPT N4
お祭り,おまつり,festival,JLPT N4
水道,すいどう,"water service, water line",JLPT N4
匂い,におい,"odor, smell",JLPT N4
ベル,ベル,bell,JLPT N4
赤ん坊,あかんぼう,baby,JLPT N4
おかしい,おかしい,strange; odd; funny,JLPT N4
事故,じこ,accident,JLPT N4
変,へん,"strange, odd",JLPT N4
辞典,じてん,"encyclopedia, reference book",JLPT N4
残る,のこる,"to remain (v.i.), to be left",JLPT N4
立てる,たてる,"to stand (something) up, to erect (something)",JLPT N4
くれる,くれる,"to give, to do for",JLPT N4
～員,～いん,member of ~,JLPT N4
原因,げんいん,"cause, origin, source",JLPT N4
驚く,おどろく,"to be surprised, to be astonished",JLPT N4
いただく,頂く,-- extra-modest expression for たべる and のむ; humble expression for もらう --,JLPT N4
祖母,そぼ,grandmother,JLPT N4
場所,ばしょ,"place, location",JLPT N4
答,こたえ,"answer, response",JLPT N4
もちろん,もちろん,"certainly, of course",JLPT N4
漬ける,つける,"to soak, to moisten, to pickle",JLPT N4
受付,うけつけ,reception(ist) desk,JLPT N4
内,うち,"within, inside",JLPT N4
スクリーン,スクリーン,screen,JLPT N4
増える,ふえる,"to increase, to multiply",JLPT N4
または,または,"or, otherwise",JLPT N4
けがする,けがする,"injury (to animate object), hurt",JLPT N4
以下,いか,"less than, below",JLPT N4
選ぶ,えらぶ,to choose; to select,JLPT N4
～ばかり,～ばかり,"just did ~, only",JLPT N4
心,こころ,"heart, mind",JLPT N4
～だす,～だす,to start doing ~,JLPT N4
サラダ,サラダ,salad,JLPT N4
届ける,とどける,to deliver (v.t.),JLPT N4
あいさつする,挨拶,greet(ing),JLPT N4
景色,けしき,"scenery, landscape",JLPT N4
確か,たしか,"if I remember correctly; certain, definite",JLPT N4
ステーキ,ステーキ,steak,JLPT N4
食料品,しょくりょうひん,"foodstuff, groceries",JLPT N4
森,もり,forest,JLPT N4
以内,いない,"within, less (no more) than",JLPT N4
予定,よてい,"plans, arrangement, schedule",JLPT N4
オーバー,オーバー,"overcoat; over, exceeding, exaggeration",JLPT N4
乾く,かわく,to get dry,JLPT N4
石,いし,stone,JLPT N4
思い出す,おもいだす,"to recall, to remember",JLPT N4
踊る,おどる,to dance,JLPT N4
細かい,こまかい,"small; fine, minute",JLPT N4
塗る,ぬる,"to paint, to plaster",JLPT N4
ご主人,ごしゅじん,"(your, her) husband",JLPT N4
珍しい,めずらしい,"unusual, rare",JLPT N4
用,よう,"errand, task, business (to take care of)",JLPT N4
公務員,こうむいん,"government worker, public servant",JLPT N4
お嬢さん,おじょうさん,(someone's) daughter (polite),JLPT N4
用意,ようい,preparation,JLPT N4
探す,さがす,"to search, to seek, to look for",JLPT N4
形,かたち,shape,JLPT N4
運転,うんてんする,driving,JLPT N4
すっかり,すっかり,"all, completely",JLPT N4
アナウンサー,アナウンサー,announcer,JLPT N4
お土産,おみやげ,souvenir,JLPT N4
消しゴム,けしゴム,eraser,JLPT N4
旅館,りょかん,a Japanese inn,JLPT N4
海岸,かいがん,"coast, seashore",JLPT N4
寂しい,さびしい,"lonely, lonesome",JLPT N4
火,ひ,fire,JLPT N4
育てる,そだてる,to raise (v.t.); to bring up,JLPT N4
味噌,みそ,"miso, bean paste",JLPT N4
お祝い,おいわい,"congratulation, celebration",JLPT N4
乗り物,のりもの,vehicle,JLPT N4
案内,あんないする,"information, guidance",JLPT N4
通う,かよう,to go back and forth; to commute,JLPT N4
連れる,つれる,"to lead, to take (a person)",JLPT N4
技術,ぎじゅつ,"technique, technology, skill",JLPT N4
小鳥,ことり,small bird,JLPT N4
下宿,げしゅく,"lodging, boarding house",JLPT N4
ジャム,ジャム,jam,JLPT N4
招待,しょうたいする,invitation,JLPT N4
鏡,かがみ,mirror,JLPT N4
はず,はず,it should be so,JLPT N4
法律,ほうりつ,law,JLPT N4
進む,すすむ,"to advance, to proceed",JLPT N4
楽む,たのしむ,to enjoy,JLPT N4
貿易,ぼうえき,trade,JLPT N4
反対,はんたい,"oppose, opposition, resistance",JLPT N4
おる,おる,-- extra-modest expression for いる --,JLPT N4
申す,もうす,-- extra-modest (humble) expression for 言う (いう) --,JLPT N4
試験,しけん,an exam,JLPT N4
真面目,まじめ,"diligent, serious",JLPT N4
ごらんになる,,-- honorific expression for みる --,JLPT N4
店員,てんいん,clerk; shop-employee,JLPT N4
泊まる,とまる,to stay (over night) (v.i.),JLPT N4
よろしい,よろしい,"(hon.) good, OK, all right",JLPT N4
今夜,こんや,"this evening, tonight",JLPT N4
おつり,おつり,change; balance of money returned to the purchaser,JLPT N4
チェックする,チェックする,check,JLPT N4
会話,かいわ,conversation,JLPT N4
空気,くうき,"air, atmosphere",JLPT N4
交通,こうつう,"traffic, transportation",JLPT N4
ワープロ,ワープロ,word processor,JLPT N4
喜ぶ,よろこぶ,"to rejoice, to be delighted, to be glad",JLPT N4
急行,きゅうこう,express train or bus,JLPT N4
皆,みな,everyone,JLPT N4
味,あじ,"flavor, taste",JLPT N4
空港,くうこう,airport,JLPT N4
手袋,てぶくろ,glove(s),JLPT N4
校長,こうちょう,"principal, headmaster",JLPT N4
ごちそう,ごちそう,"feast, treating (someone)",JLPT N4
踊り,おどり,dance,JLPT N4
興味,きょうみ,interest (in something),JLPT N4
引っ越す,ひっこす,to move to a new place of residence,JLPT N4
冷房,れいぼう,"cooling, air conditioning",JLPT N4
都合,つごう,"circumstances, convenience",JLPT N4
遠慮,えんりょする,"restraint, reserve, hesitate",JLPT N4
亡くなる,なくなる,to pass away,JLPT N4
科学,かがく,science,JLPT N4
はっきり,はっきり,"clearly, distinctly",JLPT N4
差し上げる,さしあげる,-- humble expression for あげる --,JLPT N4
気持ち,きもち,"feeling, sensation, mood",JLPT N4
祖父,そふ,grandfather,JLPT N4
港,みなと,"harbor, port",JLPT N4
予約,よやく,reservation,JLPT N4
凄い,すごい,"terrific, great",JLPT N4
入学,にゅうがくする,entry to school or university,JLPT N4
片付ける,かたづける,"to (clean) tidy up (v.t.), to put away",JLPT N4
写す,うつす,to copy (v.t.); to photograph,JLPT N4
パソコン,パソコン,(personal) computer,JLPT N4
部長,ぶちょう,department (division) manager,JLPT N4
火事,かじ,fire,JLPT N4
足す,たす,to add (numbers),JLPT N4
教会,きょうかい,church,JLPT N4
彼ら,かれら,they (usually male),JLPT N4
いっぱい,一杯,"full, to the utmost",JLPT N4
アメリカ,アメリカ,"America, U.S.A.",JLPT N4
男性,だんせい,man; male,JLPT N4
理由,りゆう,reason,JLPT N4
生産,せいさんする,production; to produce,JLPT N4
着物,きもの,kimono; Japanese traditional dress,JLPT N4
おもちゃ,おもちゃ,a toy,JLPT N4
暮れる,くれる,"to get dark, to come to an end",JLPT N4
釣る,つる,to fish,JLPT N4
～ちゃん,～ちゃん,suffix for familiar (female) person,JLPT N4
打つ,うつ,"to hit, to strike",JLPT N4
あんな,あんな,"such, like that",JLPT N4
謝る,あやまる,to apologize,JLPT N4
昼間,ひるま,"daytime, during the day",JLPT N4
教育,きょういく,education,JLPT N4
女性,じょせい,woman,JLPT N4
米,こめ,uncooked rice,JLPT N4
邪魔,じゃま,"hindrance, intrusion",JLPT N4
国際,こくさい,international,JLPT N4
隅,すみ,corner,JLPT N4
伺う,うかがう,"humble form of 行く (いく), 聞く (きく) and 来る (くる)",JLPT N4
再来週,さらいしゅう,the week after next,JLPT N4
夢,ゆめ,a dream,JLPT N4
喉,のど,throat,JLPT N4
最近,さいきん,"recently, nowadays, in recent years, most recent, latest",JLPT N4
周り,まわり,surroundings,JLPT N4
歴史,れきし,history,JLPT N4
不便,ふべん,inconvenience,JLPT N4
血,ち,blood,JLPT N4
～続ける,～つづける,to continue doing ~,JLPT N4
毛,け,"hair, fur",JLPT N4
ひどい,ひどい,"terrible, awful, unfair, cruel",JLPT N4
例えば,たとえば,"for example, e.g.",JLPT N4
中々,なかなか,"very, considerably, quite",JLPT N4
随分,ずいぶん,extremely,JLPT N4
～やすい,～やすい,easy to do ~,JLPT N4
押し入れ,おしいれ,closet,JLPT N4
電灯,でんとう,electric light,JLPT N4
叱る,しかる,to scold,JLPT N4
サンダル,サンダル,sandal,JLPT N4
びっくりする,びっくりする,to be surprised,JLPT N4
うまい,うまい,delicious; skillful; fortunate,JLPT N4
変える,かえる,"to change, to alter, to vary",JLPT N4
講堂,こうどう,auditorium,JLPT N4
子,こ,child,JLPT N4
沸かす,わかす,to boil,JLPT N4
レジ,レジ,register,JLPT N4
しばらく,しばらく,little while,JLPT N4
特に,とくに,particularly,JLPT N4
空く,あく,"to open, to become empty (vacant)",JLPT N4
計画,けいかくする,"plan, project, schedule",JLPT N4
通り,とおり,"~ Street, ~ Avenue",JLPT N4
下着,したぎ,underwear,JLPT N4
経済,けいざい,"economics, finance, economy",JLPT N4
こう,こう,"like this, this way",JLPT N4
是非,ぜひ,"certainly, by all means; without fail",JLPT N4
裏,うら,"reverse side, back",JLPT N4
為,ため,"good, advantage, in order to",JLPT N4
おいでになる,おいでになる,(hon.) to be,JLPT N4
変わる,かわる,"to change (v.i.), to be transformed, to vary",JLPT N4
以外,いがい,"other than, with the exception of, excepting",JLPT N4
済む,すむ,"to finish, to end",JLPT N4
ハンバーグ,ハンバーグ,hamburger steak,JLPT N4
市,し,city,JLPT N4
引き出し,ひきだし,drawer,JLPT N4
遊び,あそび,play,JLPT N4
支度,したくする,preparation,JLPT N4
～始める,～はじめる,to start doing ~,JLPT N4
見える,みえる,to be visible; -- polite verb meaning 来る (くる) --,JLPT N4
十分,じゅうぶん,enough,JLPT N4
音,おと,"sound, note",JLPT N4
きっと,きっと,"surely, definitely, undoubtedly, certainly",JLPT N4
まず,まず,"first (of all), to start with",JLPT N4
遠く,とおく,"far away, distant",JLPT N4
大体,だいたい,approximately; in most cases; in general; to begin with (same as もともと),JLPT N4
折れる,おれる,"to break, to be folded, to give in; to turn (a corner)",JLPT N4
正しい,ただしい,correct,JLPT N4
輸入,ゆにゅう,import,JLPT N4
返事,へんじ,"reply, answer",JLPT N4
都,と,metropolitan,JLPT N4
産業,さんぎょう,industry,JLPT N4
伝える,つたえる,"to convey (a message); to tell, to report",JLPT N4
お金持ち,かねもち; おかねもち,rich person,JLPT N4
説明,せつめい,explanation,JLPT N4
島,しま,island,JLPT N4
道具,どうぐ,tool,JLPT N4
滑る,すべる,"to slide, to slip",JLPT N4
それほど,それほど,to that degree; extent,JLPT N4
以上,いじょう,more than; this is all,JLPT N4
～まま,～まま,as it is,JLPT N4
特急,とっきゅう,limited express (train faster than an express),JLPT N4
プレゼント,プレゼント,"present, gift",JLPT N4
～(に) よると,～(に) よると,according to ~,JLPT N4
妻,つま,wife (humble),JLPT N4
帰り,かえり,"return, coming back",JLPT N4
具合,ぐあい,"condition, state, health",JLPT N4
堅; 硬; 固い,かたい,"solid, hard, firm",JLPT N4
駐車場,ちゅうしゃじょう,parking lot,JLPT N4
スーツ,スーツ,suit,JLPT N4
危険,きけん,"danger, risk, hazard",JLPT N4
髪,かみ,hair,JLPT N4
天気予報,てんきよほう,weather forecast,JLPT N4
彼女,かのじょ,girlfriend; she,JLPT N4
間,あいだ,"space, interval",JLPT N4
卒業,そつぎょう,graduation,JLPT N4
それで,それで,"and (conj.), thereupon, because of that",JLPT N4
枝,えだ,"branch, twig",JLPT N4
専門,せんもん,major; speciality,JLPT N4
そろそろ,そろそろ,"gradually, soon",JLPT N4
送る,おくる,"to send, to dispatch",JLPT N4
あげる,あげる,to give,JLPT N4
騒ぐ,さわぐ,"to make noise, to clamor",JLPT N4
尋ねる,たずねる,to inquire (same as 質問する),JLPT N4
放送,ほうそうする,broadcasting,JLPT N4
政治,せいじ,politics,JLPT N4
市民,しみん,citizen,JLPT N4
ファックス,ファックス,fax,JLPT N4
負ける,まける,"to lose (a game) (v.i.), to be defeated",JLPT N4
指輪,ゆびわ,(finger) ring,JLPT N4
田舎,いなか,"rural, countryside",JLPT N4
見つける,みつける,"to discover, to find (v.t.)",JLPT N4
高校生,こうこうせい,high school student,JLPT N4
講義,こうぎ,a lecture,JLPT N4
そんなに,そんなに,"so much, like that",JLPT N4
昼休み,ひるやすみ,"lunch break, noon recess",JLPT N4
忘れ物,わすれもの,"lost article, something forgotten",JLPT N4
下りる,おりる,"to get down, to go; come down",JLPT N4
腕,うで,arm (in reference to body),JLPT N4
訳,わけ,reason; explanation,JLPT N4
承知,しょうちする,"consent, acceptance",JLPT N4
日記,にっき,"diary, journal",JLPT N4
高校; 高等学校,こうこう; こうとうがっこう,high school; senior high school,JLPT N4
似る,にる,"to resemble, to be similar",JLPT N4
～おわる,～おわる,to finish doing ~,JLPT N4
暖房,だんぼう,heating,JLPT N4
留守,るす,absence; not at home,JLPT N4
割合,わりあい,"rate, ratio, percentage",JLPT N4
寺,てら,Buddhist temple,JLPT N4
慣れる,なれる,to grow accustomed to,JLPT N4
普通,ふつう,common; usual,JLPT N4
手伝う,てつだう,to help,JLPT N4
なるほど,なるほど,I see; I now understand,JLPT N4
くださる,くださる,"(hon.) to give, to confer",JLPT N4
息子,むすこ,(humble) son,JLPT N4
お子さん,おこさん,(someone else's) child (polite),JLPT N4
会場,かいじょう,"venue, meeting place",JLPT N4
笑う,わらう,"to laugh, to smile",JLPT N4
運ぶ,はこぶ,"to transport, to carry",JLPT N4
文学,ぶんがく,literature,JLPT N4
光,ひかり,light,JLPT N4
お見舞い,おみまい,"calling on someone who is ill, visit",JLPT N4
席,せき,a seat,JLPT N4
～様,～さま,"Mr., Mrs., Ms.",JLPT N4
ご存じ,ごぞんじ,"knowing, acquaintance",JLPT N4
下る,さがる,"to descend, to drop, to fall",JLPT N4
字,じ,letter; character,JLPT N4
アジア,アジア,Asia,JLPT N4
褒める,ほめる,to praise; to say nice things,JLPT N4
空く,すく,"to be empty (in reference to people), to be less crowded",JLPT N4
あ,あ,Ah,JLPT N4
最も,もっとも,most,JLPT N4
合う,あう,"to fit, to match",JLPT N4
～代,～だい,~ age; period,JLPT N4
最後,さいご,"last, end",JLPT N4
値段,ねだん,price,JLPT N4
退院,たいいんする,leaving hospital,JLPT N4
展覧会,てんらんかい,exhibition,JLPT N4
久しぶり,ひさしぶり,it has been a long time; for the first time in a long time,JLPT N4
カーテン,カーテン,curtain,JLPT N4
汽車,きしゃ,train (steam),JLPT N4
遅れる,おくれる,to (be) become late,JLPT N4
見つかる,みつかる,"to be found (v.i.), to be discovered",JLPT N4
召し上がる,めしあがる,-- honorific form of 食べる (たべる) and 飲む (のむ) --,JLPT N4
太る,ふとる,to gain weight,JLPT N4
注射,ちゅうしゃ,injection,JLPT N4
様,よう,"way, manner, kind",JLPT N4
～おき,～おき,after every ~,JLPT N4
最初,さいしょ,"beginning, first",JLPT N4
御～,ご～,honorable ~,JLPT N4
安心,あんしん,"peace of mind, relief",JLPT N4
直る,なおる,to be fixed,JLPT N4
集める,あつめる,"to collect, to gather (v.t.), to assemble",JLPT N4
直す,なおす,to correct (v.t.); to fix,JLPT N4
続く,つづく,to be continued,JLPT N4
先輩,せんぱい,senior members of a group,JLPT N4
約束,やくそく,"arrangement, appointment, promise",JLPT N4
世話,せわする,looking after; to look after,JLPT N4
近所,きんじょ,neighborhood,JLPT N4
将来,しょうらい,(in the) future; prospects,JLPT N4
億,おく,hundred million,JLPT N4
数学,すうがく,mathematics,JLPT N4
文化,ぶんか,culture,JLPT N4
払う,はらう,to pay,JLPT N4
習慣,しゅうかん,custom (in reference to culture),JLPT N4
焼ける,やける,"to burn, to be roasted",JLPT N4
君,きみ,you (informal for men),JLPT N4
冷える,ひえる,"to grow cold, to cool down",JLPT N4
点く,つく,"to be started, to be switched on",JLPT N4
この間,このあいだ,"the other day, recently",JLPT N4
かっこう,格好,"appearance, manner, shape, form, posture",JLPT N4
かまう,,"to mind, to care about, to be concerned about",JLPT N4
続ける,つづける,"to continue, to keep up",JLPT N4
落す,おとす,"to drop, to lose",JLPT N4
明日,あす,tomorrow,JLPT N4
出発,しゅっぱつする,departure,JLPT N4
拝見,はいけんする,"(humble) (polite) seeing, look at",JLPT N4
割れる,われる,to break,JLPT N4
背中,せなか,back (of body),JLPT N4
新聞社,しんぶんしゃ,newspaper company,JLPT N4
いじめる,いじめる,"to bully, to torment",JLPT N4
回る、回す,まわる、まわす,"to go around, to revolve",JLPT N4
～君,～くん,"Mr. (junior) ~, master ~",JLPT N4
おっしゃる,おっしゃる,-- honorific expression for いう --,JLPT N4
眠い,ねむい,"sleepy, drowsy",JLPT N4
濡れる,ぬれる,to get wet,JLPT N4
倒れる,たおれる,"to collapse, to break down",JLPT N4
スーパー (マーケット),スーパー (マーケット),supermarket,JLPT N4
アクセサリー,アクセサリー,accessory,JLPT N4
考える,かんがえる,to think (about); to consider,JLPT N4
向かう,むかう,"to face, to go towards",JLPT N4
自由,じゆう,freedom,JLPT N4
仕方,しかた,way (of doing something),JLPT N4
首,くび,neck,JLPT N4
程,ほど,"degree, extent",JLPT N4
代わり,かわり,"substitute, replacement",JLPT N4
失敗,しっぱい,"failure, mistake",JLPT N4
工業,こうぎょう,(manufacturing) industry,JLPT N4
移る,うつる,to move (from a house); to transfer (from a department); to shift,JLPT N4
スーツケース,スーツケース,suitcase,JLPT N4
ひげ,ひげ,beard,JLPT N4
