expression,reading,meaning,tags
踏む,ふむ,"to step on, to tread on",JLPT N4
～区,～く,"~ district, ~ ward, ~ borough",JLPT N4
すっと,すっと,"straight, quickly",JLPT N4
盗む,ぬすむ,to steal; to rob,JLPT N4
大抵,たいてい,"generally, usually",JLPT N4
とうとう,とうとう,"finally, at last",JLPT N4
ガソリン,ガソリン,"gasoline, petrol",JLPT N4
鳴る,なる,"to sound, to ring (v.i.)",JLPT N4
しっかり,しっかり,"firmly, steady",JLPT N4
生きる,いきる,to live,JLPT N4
苦い,にがい,bitter,JLPT N4
沸く,わく,"to boil, to grow hot",JLPT N4
意見,いけん,"opinion, view, idea",JLPT N4
やはり; やっぱり,やはり; やっぱり,"as I thought, absolutely",JLPT N4
漫画,まんが,"comic (book), cartoon",JLPT N4
ステレオ,ステレオ,stereo,JLPT N4
医学,いがく,medical science,JLPT N4
テキスト,テキスト,text; text book,JLPT N4
～月,～つき,month,JLPT N4
折る,おる,"to snap, to break; to bend",JLPT N4
～会,～かい,~ meeting,JLPT N4
うかがう,うかがう,to ask,JLPT N4
聞こえる,きこえる,"to be heard, to be audible",JLPT N4
僕,ぼく,I (used by men towards those of equal or lower status),JLPT N4
必ず,かならず,"surely, certainly",JLPT N4
壊す,こわす,"to break, to break down",JLPT N4
怒る,おこる,to get angry; to scold angrily,JLPT N4
床屋,とこや,barber's (shop),JLPT N4
オートバイ,オートバイ,motorcycle (lit: auto-bi(ke)),JLPT N4
運動,うんどうする,exercise,JLPT N4
止む,やむ,"to cease, to stop",JLPT N4
もし,もし,if,JLPT N4
表,おもて,surface; front; outside,JLPT N4
大学生,だいがくせい,"college student, university student",JLPT N4
運転手,うんてんしゅ,driver (by occupation),JLPT N4
予習,よしゅう,preparation of lessons (for class),JLPT N4
心配,しんぱいする,"worry, concern",JLPT N4
別,べつ,"distinction, different",JLPT N4
非常に,ひじょうに,extremely; very,JLPT N4
お宅,おたく,(someone else's) house; home -- polite word for 家 (いえ) --,JLPT N4
柔らかい,やわらかい,"soft (in reference to texture), tender",JLPT N4
拾う,ひろう,"to pick up (something), to find",JLPT N4
～ございます,～ございます,"to be (polite), to exist",JLPT N4
気,き,"spirit, mood",JLPT N4
比べる,くらべる,to compare,JLPT N4
ほとんど,ほとんど,"mostly, almost",JLPT N4
つもり,つもり,"intention, plan",JLPT N4
郊外,こうがい,"suburb, outskirts",JLPT N4
だめ,だめ,"useless, no good, hopeless",JLPT N4
売り場,うりば,place where things are sold,JLPT N4
正月,しょうがつ,"New Year, New Year's Day",JLPT N4
規則,きそく,"rule, regulation",JLPT N4
うん,うん,"yes (informal), all right (ok)",JLPT N4
発音,はつおん,pronunciation,JLPT N4
焼く,やく,"to bake, to grill",JLPT N4
屋上,おくじょう,rooftop,JLPT N4
