expression,reading,meaning,tags
女の子,おんなのこ,girl,JLPT N5
～回,～かい,counter for occurrences (~ times),JLPT N5
～階,～かい,counter for stories (floors) of a building,JLPT N5
外国,がいこく,foreign country; abroad,JLPT N5
外国人,がいこくじん,foreigner,JLPT N5
会社,かいしゃ,"company, corporation",JLPT N5
階段,かいだん,stairs,JLPT N5
買い物,かいもの,shopping,JLPT N5
買う,かう,to buy,JLPT N5
返す,かえす,to return something,JLPT N5
帰る,かえる,"to go back, to go home, to return",JLPT N5
顔,かお,face (body part),JLPT N5
かかる,かかる,"it takes (amount of time, money) (v.i.)",JLPT N5
鍵,かぎ,a lock; a key,JLPT N5
書く,かく,to write,JLPT N5
学生,がくせい,student,JLPT N5
～か月,～かげつ,(number of) months,JLPT N5
掛ける,かける,"to put on (e.g., glasses); to hang (e.g., on a wall)",JLPT N5
かける,かける,"to dial/call (e.g., phone); to sit down",JLPT N5
傘,かさ,"umbrella, parasol",JLPT N5
貸す,かす,to lend,JLPT N5
風,かぜ,"wind, breeze",JLPT N5
風邪,かぜ,"cold, flu",JLPT N5
方,かた,-- honorific form for 人 (ひと) --; way of doing,JLPT N5
家族,かぞく,"family, members of a family",JLPT N5
片仮名,かたかな,katakana,JLPT N5
～月,～がつ,month of year,JLPT N5
学校,がっこう,a school,JLPT N5
カップ,カップ,cup,JLPT N5
家庭,かてい,home; family,JLPT N5
角,かど,"corner (e.g., desk, pavement)",JLPT N5
かばん,かばん,"bag, basket",JLPT N5
花瓶,かびん,(flower) vase,JLPT N5
かぶる,かぶる,"to wear, to put on (e.g., a hat on the head)",JLPT N5
紙,かみ,paper,JLPT N5
カメラ,カメラ,camera,JLPT N5
火曜日,かようび,Tuesday,JLPT N5
辛い,からい,hot and spicy; salty,JLPT N5
体,からだ,body; health,JLPT N5
借りる,かりる,"to borrow, to owe",JLPT N5
～がる,～がる,feel,JLPT N5
軽い,かるい,"light, non-serious, minor",JLPT N5
カレー,カレー,curry (abbr. for curry and rice),JLPT N5
カレンダー,カレンダー,calendar,JLPT N5
川; 河,かわ,river,JLPT N5
～側,～がわ,~ side,JLPT N5
可愛い,かわいい,"cute, adorable",JLPT N5
