expression,reading,meaning,tags
毎日,まいにち,every day,JLPT N5
毎年,まいねん; まいとし,"every year, yearly, annually",JLPT N5
毎晩,まいばん,every night,JLPT N5
前,まえ,"before, in front",JLPT N5
～前,～まえ,in front of ~,JLPT N5
曲る,まがる,"to turn, to bend",JLPT N5
まずい,まずい,"terrible (in reference to food), unappetizing, unpleasant (taste)",JLPT N5
また,また,and; furthermore,JLPT N5
まだ,まだ,"yet, still, besides",JLPT N5
町,まち,town; city,JLPT N5
待つ,まつ,to wait,JLPT N5
まっすぐ,まっすぐ,"straight (ahead), direct",JLPT N5
マッチ,マッチ,match,JLPT N5
窓,まど,window,JLPT N5
丸い; 円い,まるい,"round, circular",JLPT N5
万,まん,ten thousand,JLPT N5
万年筆,まんねんひつ,fountain pen,JLPT N5
磨く,みがく,to brush (teeth); to polish,JLPT N5
右,みぎ,right hand side,JLPT N5
短い,みじかい,short (length),JLPT N5
水,みず,water,JLPT N5
店,みせ,"store, shop",JLPT N5
見せる,みせる,"to show, to display",JLPT N5
道,みち,"road, street; way, directions",JLPT N5
三日,みっか,"three days, third day of the month",JLPT N5
三つ,みっつ,three things,JLPT N5
緑,みどり,green,JLPT N5
皆さん,みなさん,"all of you, everyone",JLPT N5
南,みなみ,South,JLPT N5
耳,みみ,ear,JLPT N5
見る,みる,"to see, to look",JLPT N5
みんな,みんな,"all, everyone, everybody",JLPT N5
六日,むいか,six days; sixth day of month,JLPT N5
向こう,むこう,"beyond, over there",JLPT N5
難しい,むずかしい,difficult,JLPT N5
六つ,むっつ,six things,JLPT N5
村,むら,village,JLPT N5
目,め,eye(s),JLPT N5
メートル,メートル,meter,JLPT N5
眼鏡,めがね,eye glasses,JLPT N5
もう,もう,already; again; more,JLPT N5
木曜日,もくようび,Thursday,JLPT N5
もしもし,もしもし,Hello? (used on the phone),JLPT N5
持つ,もつ,"to hold, to carry; to possess",JLPT N5
もっと,もっと,more,JLPT N5
物,もの,thing (concrete object),JLPT N5
門,もん,gate,JLPT N5
問題,もんだい,a problem,JLPT N5
～屋,～や,~ shop,JLPT N5
八百屋,やおや,greengrocer,JLPT N5
野菜,やさい,vegetable,JLPT N5
易しい,やさしい,"easy, plain, simple",JLPT N5
安い,やすい,inexpensive; cheap (things),JLPT N5
休み,やすみ,holiday; day off; absence,JLPT N5
休む,やすむ,"to rest, to have a break, to get time off",JLPT N5
八つ,やっつ,eight things,JLPT N5
山,やま,mountain,JLPT N5
やる,やる,"to do; to give (to pets, parents, siblings, etc.)",JLPT N5
夕方,ゆうがた,"late afternoon (typically just before dinner time), evening",JLPT N5
夕飯,ゆうはん,"dinner, supper, evening meal",JLPT N5
郵便局,ゆうびんきょく,post office,JLPT N5
昨夜,ゆうべ,last night,JLPT N5
有名,ゆうめい,famous,JLPT N5
雪,ゆき,snow,JLPT N5
ゆっくりと,ゆっくりと,"slowly, at ease",JLPT N5
八日,ようか,eight days; eighth day of the month,JLPT N5
洋服,ようふく,Western-style clothes,JLPT N5
よく,よく,"frequently, often (much); well, skillfully",JLPT N5
横,よこ,beside; side; width,JLPT N5
四日,よっか,four days; fourth day of the month,JLPT N5
四つ,よっつ,four things,JLPT N5
呼ぶ,よぶ,to call (one's name); to invite,JLPT N5
読む,よむ,to read,JLPT N5
夜,よる,"evening, night",JLPT N5
弱い,よわい,weak,JLPT N5
来月,らいげつ,next month,JLPT N5
来週,らいしゅう,next week,JLPT N5
来年,らいねん,next year,JLPT N5
ラジオ,ラジオ,radio,JLPT N5
ラジオカセ,ラジオカセ,radio cassette player,JLPT N5
りっぱ,りっぱ,"splendid, fine",JLPT N5
留学生,りゅうがくせい,international student,JLPT N5
両親,りょうしん,"parents (lit., both parents)",JLPT N5
料理,りょうり,cooking; cuisine,JLPT N5
旅行,りょこう,"travel, trip",JLPT N5
零,れい,"zero, nought",JLPT N5
冷蔵庫,れいぞうこ,refrigerator,JLPT N5
レコード,レコード,record,JLPT N5
レストラン,レストラン,restaurant,JLPT N5
練習,れんしゅう (する),(to) practice,JLPT N5
廊下,ろうか,corridor,JLPT N5
六,ろく,six,JLPT N5
ワイシャツ,ワイシャツ,"shirt (lit: white shirt), business shirt",JLPT N5
若い,わかい,young,JLPT N5
分かる,わかる,to understand,JLPT N5
忘れる,わすれる,to forget,JLPT N5
私,わたし,"I, myself",JLPT N5
私,わたくし,"I (formal), myself, private affairs",JLPT N5
渡す,わたす,to hand (something) over (v.t.); to get across,JLPT N5
渡る,わたる,"to cross over, to go across",JLPT N5
悪い,わるい,"bad, sinful; inferior",JLPT N5
