expression,reading,meaning,tags
作法,さほう,"manners, etiquette, propriety",JLPT N3
様々,さまざま,"varied, various",JLPT N3
冷ます,さます,"to cool, to let cool",JLPT N3
覚ます,さます,to awaken,JLPT N3
冷める,さめる,"to become cool, to wear off",JLPT N3
覚める,さめる,"to wake, to wake up",JLPT N3
左右,さゆう,left and right; influence,JLPT N3
皿,さら,"plate, dish",JLPT N3
更に,さらに,"furthermore, moreover",JLPT N3
去る,さる,"to leave, to go away",JLPT N3
猿,さる,monkey,JLPT N3
騒ぎ,さわぎ,"uproar, disturbance",JLPT N3
参加,さんか,participation,JLPT N3
参考,さんこう,"reference, consultation",JLPT N3
賛成,さんせい,"approval, agreement",JLPT N3
酸性,さんせい,acidity,JLPT N3
酸素,さんそ,oxygen,JLPT N3
氏,し,"family name, lineage",JLPT N3
詩,し,poem; poetry,JLPT N3
幸せ,しあわせ,"happiness, blessing",JLPT N3
ジーンズ,ジーンズ,jeans,JLPT N3
ジェット機,ジェットき,jet plane,JLPT N3
四角,しかく,square,JLPT N3
直に,じかに,"immediately, readily, directly",JLPT N3
しかも,しかも,"moreover, furthermore, besides, plus",JLPT N3
四季,しき,four seasons,JLPT N3
直,じき,"immediately, soon, shortly",JLPT N3
時期,じき,"time, season, period",JLPT N3
支給,しきゅう,"payment, allowance",JLPT N3
至急,しきゅう,"urgent, pressing",JLPT N3
しきりに,しきりに,"frequently, repeatedly, eagerly",JLPT N3
刺激,しげき,"stimulus, impetus, incentive",JLPT N3
資源,しげん,resources,JLPT N3
事件,じけん,"event, affair, incident",JLPT N3
時刻,じこく,"time, hour",JLPT N3
自殺,じさつ,suicide,JLPT N3
事実,じじつ,"fact, truth, reality",JLPT N3
支出,ししゅつ,"expenditure, expenses",JLPT N3
事情,じじょう,"circumstances, situation, reasons",JLPT N3
詩人,しじん,poet,JLPT N3
自身,じしん,oneself,JLPT N3
沈む,しずむ,to sink; to feel depressed,JLPT N3
自然,しぜん,"nature, spontaneous",JLPT N3
思想,しそう,"thought, idea",JLPT N3
舌,した,tongue,JLPT N3
次第,しだい,order; circumstances; immediate(ly),JLPT N3
従う,したがう,"to abide (by the rules), to obey",JLPT N3
したがって,したがって,"therefore, consequently",JLPT N3
親しい,したしい,"intimate, close (e.g., friend)",JLPT N3
質,しつ,"quality, nature (of person)",JLPT N3
失業,しつぎょう,unemployment,JLPT N3
湿気,しっけ,"moisture, humidity, dampness",JLPT N3
実験,じっけん,lab work; experiment,JLPT N3
実現,じつげん,"implementation, materialization, realization",JLPT N3
実行,じっこう,"practice, execution (e.g., program), realization",JLPT N3
実際,じっさい,in fact; in actuality,JLPT N3
実施,じっし,"enforcement, carry out, operation",JLPT N3
湿度,しつど,humidity,JLPT N3
じっと,じっと,"patiently, quietly",JLPT N3
実に,じつに,"indeed, truly, surely",JLPT N3
実は,じつは,actually; in fact,JLPT N3
失望,しつぼう,"disappointment, despair",JLPT N3
実力,じつりょく,ability; force,JLPT N3
支店,してん,branch store (office),JLPT N3
指導,しどう,"leadership, guidance, coaching",JLPT N3
自動,じどう,"automatic, self-motion",JLPT N3
児童,じどう,"children, juvenile",JLPT N3
品,しな,"thing, article, goods",JLPT N3
支配,しはい,"rule, control, direction",JLPT N3
芝居,しばい,"play, drama",JLPT N3
しばしば,しばしば,"often, again and again, frequently",JLPT N3
芝生,しばふ,lawn,JLPT N3
支払,しはらい,payment,JLPT N3
支払う,しはらう,to pay,JLPT N3
死亡,しぼう,death,JLPT N3
資本,しほん,"funds, capital",JLPT N3
姉妹,しまい,sisters,JLPT N3
しまった (かん),しまった (かん),Damn it!,JLPT N3
自慢,じまん,"pride, boast",JLPT N3
地味,じみ,"quiet, plain, conservative",JLPT N3
示す,しめす,"to show, to indicate",JLPT N3
占める,しめる,to take up; to account for,JLPT N3
湿る,しめる,"to be wet, to be damp",JLPT N3
下,しも,"under, below, beneath",JLPT N3
霜,しも,frost,JLPT N3
借金,しゃっきん,"debt, loan, liabilities",JLPT N3
しゃべる,しゃべる,"to talk, to chat, to chatter (same as 話す (はなす))",JLPT N3
週,しゅう,week,JLPT N3
州,しゅう,"state, province",JLPT N3
銃,じゅう,gun,JLPT N3
周囲,しゅうい,"surroundings, circumference, environs",JLPT N3
収穫,しゅうかく,"harvest, crop, ingathering",JLPT N3
宗教,しゅうきょう,religion,JLPT N3
重視,じゅうし,"importance, stress",JLPT N3
就職,しゅうしょく,finding employment,JLPT N3
ジュース,ジュース,"juice, soft drink; deuce",JLPT N3
修正,しゅうせい,"amendment, correction",JLPT N3
重体,じゅうたい,"seriously ill, critical state",JLPT N3
渋滞,じゅうたい,"congestion (e.g., traffic), delay",JLPT N3
重大,じゅうだい,"serious, important",JLPT N3
住宅,じゅうたく,"resident, housing",JLPT N3
集団,しゅうだん,"group, mass",JLPT N3
集中,しゅうちゅう,"concentration, focusing the mind",JLPT N3
収入,しゅうにゅう,"income, revenue",JLPT N3
住民,じゅうみん,"inhabitants, residents",JLPT N3
重要,じゅうよう,"important, essential",JLPT N3
修理,しゅうり,"repairing, mending",JLPT N3
主義,しゅぎ,"doctrine, cause, principle",JLPT N3
宿泊,しゅくはく,lodging,JLPT N3
手術,しゅじゅつ,surgical operation,JLPT N3
首相,しゅしょう,Prime Minister,JLPT N3
手段,しゅだん,"means, way, measure",JLPT N3
主張,しゅちょう,"claim, insistence, assertion",JLPT N3
出場,しゅつじょう,participation,JLPT N3
出身,しゅっしん,come from,JLPT N3
出版,しゅっぱん,publication,JLPT N3
首都,しゅと,capital city,JLPT N3
主婦,しゅふ,housewife,JLPT N3
主要,しゅよう,"chief, main",JLPT N3
需要,じゅよう,demand,JLPT N3
種類,しゅるい,"variety, kind",JLPT N3
順,じゅん,"order, turn",JLPT N3
瞬間,しゅんかん,"moment, second",JLPT N3
順調,じゅんちょう,doing well,JLPT N3
順番,じゅんばん,"turn (in line), order of things",JLPT N3
使用,しよう,"use (same as 使うこと (つかうこと)), application, employment, utilization",JLPT N3
小,しょう,small,JLPT N3
章,しょう,"chapter, section; medal",JLPT N3
賞,しょう,"prize, award",JLPT N3
上,じょう,first volume; superior quality; governmental,JLPT N3
障害,しょうがい,"obstacle, impediment",JLPT N3
