expression,reading,meaning,tags
奨学金,しょうがくきん,scholarship,JLPT N3
乗客,じょうきゃく,passenger,JLPT N3
上京,じょうきょう,proceeding to the capital (Tokyo),JLPT N3
状況,じょうきょう,"state of affairs, situation",JLPT N3
条件,じょうけん,"conditions, terms",JLPT N3
正午,しょうご,"noon, mid-day",JLPT N3
正直,しょうじき,"honesty, integrity, frankness",JLPT N3
常識,じょうしき,common sense,JLPT N3
少女,しょうじょ,young girl,JLPT N3
少々,しょうしょう,a little; short (time) (formal for 少し (すこし)),JLPT N3
症状,しょうじょう,"symptoms, condition",JLPT N3
生じる,しょうじる,"to occur, to arise, to be generated",JLPT N3
状態,じょうたい,"condition, situation",JLPT N3
上達,じょうたつ,"improvement, advance",JLPT N3
冗談,じょうだん,a joke,JLPT N3
上等,じょうとう,"first class, very good",JLPT N3
衝突,しょうとつ,"collision, conflict",JLPT N3
商人,しょうにん,"trader, shopkeeper, merchant",JLPT N3
承認,しょうにん,"recognition, approval",JLPT N3
少年,しょうねん,"boys, juveniles",JLPT N3
商売,しょうばい,"trade, business, commerce",JLPT N3
消費,しょうひ,"consumption, expenditure",JLPT N3
商品,しょうひん,"commodity, merchandise",JLPT N3
賞品,しょうひん,"prize, trophy",JLPT N3
消防,しょうぼう,"fire fighting, fire department",JLPT N3
情報,じょうほう,"information, (military) intelligence",JLPT N3
証明,しょうめい,"proof, verification",JLPT N3
省略,しょうりゃく,"omission, abbreviation, abridgment",JLPT N3
女王,じょおう,queen,JLPT N3
職,しょく,employment,JLPT N3
職業,しょくぎょう,"occupation, business",JLPT N3
食卓,しょくたく,dining table,JLPT N3
食品,しょくひん,foodstuff,JLPT N3
植物,しょくぶつ,"plant, vegetation",JLPT N3
食物,しょくもつ,"food, foodstuff",JLPT N3
食欲,しょくよく,appetite (for food),JLPT N3
食料,しょくりょう,food,JLPT N3
食糧,しょくりょう,"provisions, rations",JLPT N3
書斎,しょさい,"study, den",JLPT N3
女子,じょし,"woman, girl",JLPT N3
助手,じょしゅ,"helper, assistant",JLPT N3
徐々に,じょじょに,"slowly, little by little",JLPT N3
署名,しょめい,signature,JLPT N3
書物,しょもつ,books,JLPT N3
女優,じょゆう,actress,JLPT N3
処理,しょり,"processing, treatment, disposition",JLPT N3
書類,しょるい,"documents, official papers",JLPT N3
知らせ,しらせ,notice,JLPT N3
尻,しり,"buttocks, bottom",JLPT N3
知合い,しりあい,acquaintance,JLPT N3
印,しるし,mark; symbol; evidence,JLPT N3
城,しろ,castle,JLPT N3
進学,しんがく,going on to university,JLPT N3
神経,しんけい,"nerve, sensitivity",JLPT N3
真剣,しんけん,"seriousness, earnestness",JLPT N3
信仰,しんこう,"(religious) faith, belief",JLPT N3
信号,しんごう,"traffic lights, signal, semaphore",JLPT N3
人工,じんこう,"artificial, man made, human work,",JLPT N3
深刻,しんこく,serious,JLPT N3
診察,しんさつ,medical examination (of a patient),JLPT N3
人種,じんしゅ,race (of people),JLPT N3
信じる,しんじる,to believe,JLPT N3
人生,じんせい,"(human) life (e.g., conception to death)",JLPT N3
親戚,しんせき,relative(s),JLPT N3
新鮮,しんせん,fresh,JLPT N3
心臓,しんぞう,heart,JLPT N3
身体,しんたい,the body,JLPT N3
身長,しんちょう,"height (of body), stature",JLPT N3
慎重,しんちょう,"careful, prudent, cautious",JLPT N3
審判,しんぱん,"umpire, referee, judgment",JLPT N3
人物,じんぶつ,"character, personality, talented man",JLPT N3
進歩,しんぽ,"improvement, progress, development",JLPT N3
親友,しんゆう,"close friend, buddy",JLPT N3
信用,しんよう,"confidence, dependence",JLPT N3
信頼,しんらい,"reliance, trust, confidence",JLPT N3
心理,しんり,mentality,JLPT N3
人類,じんるい,"mankind, humanity",JLPT N3
巣,す,"nest, breeding place",JLPT N3
酢,す,vinegar,JLPT N3
図,ず,"figure, drawing, illustration",JLPT N3
水準,すいじゅん,"level, standard",JLPT N3
推薦,すいせん,recommendation,JLPT N3
スイッチ,スイッチ,switch,JLPT N3
睡眠,すいみん,sleep,JLPT N3
数,すう,"number, figure",JLPT N3
数字,すうじ,"numeral, figure",JLPT N3
スープ,スープ,(Western) soup,JLPT N3
末,すえ,"the end of, powder",JLPT N3
姿,すがた,"figure, shape, appearance",JLPT N3
スキー,スキー,ski,JLPT N3
救う,すくう,"to rescue from, to help out of",JLPT N3
すくなくとも,すくなくとも,at least,JLPT N3
優れる,すぐれる,"to surpass, to outstrip, to excel",JLPT N3
スケート,スケート,"skate(s), skating",JLPT N3
スケジュール,スケジュール,schedule,JLPT N3
少しも,すこしも,"anything of, not one bit",JLPT N3
過ごす,すごす,"to pass, to spend (time)",JLPT N3
筋,すじ,"muscle, string, line",JLPT N3
進める,すすめる,"to advance, to promote, to hasten",JLPT N3
勧める,すすめる,"to urge (someone) to do (something), to recommend",JLPT N3
スター,スター,star,JLPT N3
スタイル,スタイル,style,JLPT N3
スタンド,スタンド,stand,JLPT N3
頭痛,ずつう,headache,JLPT N3
ずっと,ずっと,for a long time; all the time; consecutively,JLPT N3
すっぱい,すっぱい,"sour, acid",JLPT N3
すてき,すてき,"lovely, great",JLPT N3
既に,すでに,already (same as もう),JLPT N3
すなわち,すなわち,"that is, namely, e.g.",JLPT N3
スピーチ,スピーチ,speech,JLPT N3
全て,すべて,"all, the whole, entirely",JLPT N3
済ませる,すませる,to be finished,JLPT N3
角,すみ,corner,JLPT N3
墨,すみ,ink,JLPT N3
すみません (かん),すみません (かん),"sorry, excuse me",JLPT N3
澄む,すむ,"to clear (e.g., weather), to become transparent",JLPT N3
清む,すむ,"to clear (e.g., weather), to become transparent",JLPT N3
刷る,する,to print,JLPT N3
為る,する,"to do, to attempt",JLPT N3
鋭い,するどい,"pointed, sharp",JLPT N3
すれ違う,すれちがう,to pass by one another,JLPT N3
ずれる,ずれる,"move, off the point",JLPT N3
正,せい,"(logical) true, regular",JLPT N3
生,せい,birth,JLPT N3
性,せい,"sex, gender",JLPT N3
姓,せい,"surname, family name",JLPT N3
所為,せい,"cause, reason, fault",JLPT N3
税,ぜい,tax,JLPT N3
性格,せいかく,"character, personality",JLPT N3
正確,せいかく,"accurate, punctuality, exact",JLPT N3
世紀,せいき,century,JLPT N3
請求,せいきゅう,"claim, demand, request",JLPT N3
税金,ぜいきん,"tax, duty",JLPT N3
清潔,せいけつ,clean,JLPT N3
制限,せいげん,"restriction, restraint, limitation",JLPT N3
成功,せいこう,"success, hit",JLPT N3
正式,せいしき,"official, formal",JLPT N3
性質,せいしつ,"nature, property, disposition",JLPT N3
精神,せいしん,"mind, soul, spirit",JLPT N3
成人,せいじん,adult,JLPT N3
精々,せいぜい,"at the most, at best",JLPT N3
成績,せいせき,"grade (i.e., on a test), academic record",JLPT N3
製造,せいぞう,"manufacture, production",JLPT N3
贅沢,ぜいたく,"luxury, extravagance",JLPT N3
成長,せいちょう,growth,JLPT N3
生長,せいちょう,growth,JLPT N3
制度,せいど,"system, institution",JLPT N3
青年,せいねん,"youth, young man",JLPT N3
生年月日,せいねんがっぴ,birth date,JLPT N3
製品,せいひん,"manufactured goods, finished goods",JLPT N3
政府,せいふ,"government, administration",JLPT N3
生物,せいぶつ,"living thing, organism",JLPT N3
生命,せいめい,life,JLPT N3
整理,せいり,"sorting, arrangement",JLPT N3
咳,せき,cough,JLPT N3
石炭,せきたん,coal,JLPT N3
責任,せきにん,"duty, responsibility",JLPT N3
石油,せきゆ,"oil, petroleum, kerosene",JLPT N3
世間,せけん,"world, society",JLPT N3
説,せつ,theory,JLPT N3
積極的,せっきょくてき,"positive, active, proactive",JLPT N3
設計,せっけい,"plan, design",JLPT N3
絶対,ぜったい,"definitely, without fail, absoluteness",JLPT N3
セット,セット,set,JLPT N3
愛,あい,love,JLPT N3
相変わらず,あいかわらず,"as ever, as usual",JLPT N3
愛情,あいじょう,"love, affection",JLPT N3
合図,あいず,"sign, signal",JLPT N3
アイスクリーム,アイスクリーム,ice cream,JLPT N3
愛する,あいする,to love,JLPT N3
相手,あいて,partner; addressee; the person you are talking to,JLPT N3
あいにく,あいにく,unfortunately,JLPT N3
遭う,あう,"to meet, to encounter (undesirable nuance)",JLPT N3
アウト,アウト,out,JLPT N3
明かり,あかり,"lamplight, light (in general)",JLPT N3
空き,あき,"vacancy, opening, space",JLPT N3
明らか,あきらか,"obvious, clear",JLPT N3
諦める,あきらめる,"to give up, to abandon",JLPT N3
飽きる,あきる,"to get tired of, to lose interest in",JLPT N3
握手,あくしゅ,handshake,JLPT N3
悪魔,あくま,"devil, demon, evil spirit",JLPT N3
明ける,あける,"to dawn, to become daylight",JLPT N3
揚げる,あげる,"to lift, to fry",JLPT N3
挙げる,あげる,"to raise; to list, to cite",JLPT N3
預かる,あずかる,to keep (something) for (someone),JLPT N3
預ける,あずける,"to give into custody, to deposit",JLPT N3
汗,あせ,"sweat, perspiration",JLPT N3
与える,あたえる,to give,JLPT N3
温かい,あたたかい,warm,JLPT N3
暖まる,あたたまる,to warm up,JLPT N3
温まる,あたたまる,"to warm oneself, to get warm",JLPT N3
暖める,あたためる,"to warm (up to someone/something), to heat (up to someone/something)",JLPT N3
温める,あたためる,"to warm, to heat",JLPT N3
辺り,あたり,"vicinity, nearby",JLPT N3
当たり前,あたりまえ,"usual, common, obvious",JLPT N3
当たる,あたる,"to be hit, to be successful",JLPT N3
あちこち,あちこち,here and there,JLPT N3
扱う,あつかう,"to treat, to handle, to deal with",JLPT N3
集まり,あつまり,"gathering, meeting, collection",JLPT N3
当てる,あてる,to hit; to apply to,JLPT N3
跡,あと,trace; remains; scar,JLPT N3
穴,あな,hole,JLPT N3
油,あぶら,oil,JLPT N3
脂,あぶら,fat,JLPT N3
誤り,あやまり,error,JLPT N3
粗,あら,"defect, flaw, fault",JLPT N3
嵐,あらし,storm,JLPT N3
争う,あらそう,"to dispute, to argue, to fight",JLPT N3
新た,あらた,"new, fresh",JLPT N3
あらゆる,あらゆる,"all, every",JLPT N3
表す,あらわす,"to express, to show",JLPT N3
現す,あらわす,"to show, to appear, to reveal",JLPT N3
著す,あらわす,"to write, to publish",JLPT N3
現れ,あらわれ,"expression, indication, sign",JLPT N3
現れる,あらわれる,"to appear (v.i.), to become visible; to express",JLPT N3
ありがとう,ありがとう,Thank you,JLPT N3
在る; 有る,ある,"to live, to be, to exist",JLPT N3
或,ある,"a certain..., some...",JLPT N3
あるいは,あるいは,"or, perhaps",JLPT N3
アルバム,アルバム,album,JLPT N3
泡,あわ,"bubble, foam",JLPT N3
合わせる,あわせる,to combine,JLPT N3
慌てる,あわてる,to become confused、to panic,JLPT N3
哀れ,あわれ,"helpless, pity, pathetic",JLPT N3
案,あん,"plan, scheme, proposal",JLPT N3
案外,あんがい,unexpectedly,JLPT N3
暗記,あんき,"memorization, learning by heart",JLPT N3
安定,あんてい,"stability, equilibrium",JLPT N3
あんなに,あんなに,"to that extent, to that degree",JLPT N3
あんまり,あんまり,"not very, not much",JLPT N3
胃,い,stomach,JLPT N3
委員,いいん,committee member,JLPT N3
意外,いがい,"unexpected, surprising",JLPT N3
行き,いき,going,JLPT N3
行き,ゆき,going,JLPT N3
息,いき,breath,JLPT N3
勢い,いきおい,"force, vigor, momentum",JLPT N3
生き物,いきもの,"living thing, creature",JLPT N3
いけない,いけない,"must not do, bad, wrong",JLPT N3
医師,いし,"doctor, physician",JLPT N3
意思,いし,"intention, purpose",JLPT N3
意志,いし,"will, volition",JLPT N3
維持,いじ,"maintenance, preservation",JLPT N3
意識,いしき,"consciousness, senses",JLPT N3
異常,いじょう,"strangeness, abnormality, disorder",JLPT N3
意地悪,いじわる,"malicious, mean, unkind",JLPT N3
泉,いずみ,"spring, fountain",JLPT N3
いずれ,いずれ,"where, which, who",JLPT N3
以前,いぜん,in the past; before,JLPT N3
板,いた,"board, plank",JLPT N3
偉大,いだい,greatness,JLPT N3
抱く,いだく,"to hold (v.t.) (written expression), to embrace, to harbor",JLPT N3
いたずら,いたずら,"trick, practical joke",JLPT N3
いただきます,いただきます,expression of gratitude before meals,JLPT N3
痛み,いたみ,"pain, ache, sore",JLPT N3
至る,いたる,"to come, to arrive",JLPT N3
市,いち,"market, fair",JLPT N3
位置,いち,"place, position",JLPT N3
一時,いちじ,"for a time, temporarily",JLPT N3
一度に,いちどに,all at once,JLPT N3
市場,いちば,"market, bazaar",JLPT N3
いつか,いつか,"sometime, one day",JLPT N3
一家,いっか,"family, clan",JLPT N3
一種,いっしゅ,"a species, a kind, a variety",JLPT N3
一瞬,いっしゅん,"a moment, an instant",JLPT N3
一生,いっしょう,throughout (one's) life,JLPT N3
一層,いっそう,"much more, still more",JLPT N3
一体,いったい,one object; body; what on earth?; generally,JLPT N3
一致,いっち,agreement; conformity,JLPT N3
いつでも,いつでも,"(at) any time, always",JLPT N3
いつのまにか,いつのまにか,before one knows,JLPT N3
一般,いっぱん,"general, average",JLPT N3
一方,いっぽう,on the other hand; meanwhile,JLPT N3
いつまでも,いつまでも,"forever, for good, eternally",JLPT N3
移動,いどう,"migration, movement",JLPT N3
従兄弟,いとこ,cousin (male),JLPT N3
従姉妹,いとこ,cousin (female),JLPT N3
稲,いね,rice-plant,JLPT N3
居眠り,いねむり,"dozing, nodding off",JLPT N3
命,いのち,life,JLPT N3
違反,いはん,"violation (of law), infringement",JLPT N3
衣服,いふく,clothes,JLPT N3
居間,いま,living room,JLPT N3
今に,いまに,"before long, soon",JLPT N3
今にも,いまにも,"at any time, soon",JLPT N3
イメージ,イメージ,one's image,JLPT N3
否,いや,"no, the noes",JLPT N3
以来,いらい,"since, henceforth",JLPT N3
依頼,いらい,request; dependence,JLPT N3
いらいら,いらいら,"getting nervous, irritation",JLPT N3
いらっしゃい,いらっしゃい,welcome,JLPT N3
医療,いりょう,"medical care, medical treatment",JLPT N3
岩,いわ,rock,JLPT N3
祝い,いわい,"celebration, festival",JLPT N3
祝う,いわう,"to congratulate, to celebrate",JLPT N3
言わば,いわば,so to speak,JLPT N3
いわゆる,いわゆる,"the so-called, so-to-speak",JLPT N3
インク,インク,ink,JLPT N3
印刷,いんさつ,printing,JLPT N3
印象,いんしょう,impression,JLPT N3
引退,いんたい,retirement,JLPT N3
インタビュー,インタビュー,interview,JLPT N3
引用,いんよう,"quotation, citation",JLPT N3
ウイスキー,ウイスキー,whiskey,JLPT N3
上,うわ,"upper, outer, surface",JLPT N3
魚,うお,fish,JLPT N3
うがい,うがい,gargling,JLPT N3
受け取る,うけとる,"to receive, to get, to accept",JLPT N3
動かす,うごかす,"to move, to shift",JLPT N3
兎,うさぎ,"rabbit, hare",JLPT N3
牛,うし,"cattle, cow",JLPT N3
失う,うしなう,"to lose, to part with",JLPT N3
疑う,うたがう,"to doubt, to distrust",JLPT N3
宇宙,うちゅう,"universe, cosmos, space",JLPT N3
討つ,うつ,"to attack, to avenge",JLPT N3
撃つ,うつ,"to attack, to shoot",JLPT N3
うっかり,うっかり,carelessly; inadvertently,JLPT N3
映す,うつす,"to project, to reflect, to cast (shadow)",JLPT N3
訴える,うったえる,"to complain, to appeal, to sue (a person)",JLPT N3
写る,うつる,"to be photographed, to be projected",JLPT N3
映る,うつる,"to be reflected, to come out (photo)",JLPT N3
うなる,うなる,"to groan, to moan",JLPT N3
奪う,うばう,"to rob, to deprive",JLPT N3
馬,うま,horse; promoted bishop (in Japanese chess known as shogi),JLPT N3
生まれ,うまれ,"birth, birth-place",JLPT N3
有無,うむ,"yes or no, presence or absence",JLPT N3
梅,うめ,"plum, lowest (of a three-tier ranking system)",JLPT N3
埋める,うめる,"to bury, to fill up, to fill (a seat, a vacant position)",JLPT N3
裏切る,うらぎる,"to betray, to turn traitor",JLPT N3
羨ましい,うらやましい,"envious, enviable",JLPT N3
売れる,うれる,to be sold,JLPT N3
噂,うわさ,"rumor, gossip",JLPT N3
運,うん,"fortune, luck",JLPT N3
運転,うんてん,"operation, driving",JLPT N3
柄,え,"handle (of a sword, dagger, etc.), grip",JLPT N3
永遠,えいえん,"eternity, perpetuity, immortality",JLPT N3
永久,えいきゅう,"eternity, perpetuity, immortality",JLPT N3
影響,えいきょう,"influence, effect",JLPT N3
営業,えいぎょう,"business, trade, management",JLPT N3
衛星,えいせい,satellite,JLPT N3
栄養,えいよう,"nutrition, nourishment",JLPT N3
笑顔,えがお,smile (on one's face),JLPT N3
描く,えがく,"to draw, to depict, to describe",JLPT N3
餌,えさ,"feed, bait",JLPT N3
エネルギー,エネルギー,energy (GER: energie),JLPT N3
得る,える,"to get, to gain, to win, to learn",JLPT N3
得る,うる,"to get, to gain, to win",JLPT N3
円,えん,"circle, yen",JLPT N3
延期,えんき,"postponement, adjournment",JLPT N3
演技,えんぎ,"acting, performance",JLPT N3
援助,えんじょ,"assistance, aid, support",JLPT N3
エンジン,エンジン,engine,JLPT N3
演説,えんぜつ,"speech, address",JLPT N3
演奏,えんそう,musical performance,JLPT N3
老い,おい,"old age, the aged",JLPT N3
追い付く,おいつく,"to overtake, to catch up (with)",JLPT N3
王,おう,king,JLPT N3
追う,おう,"to chase, to run after",JLPT N3
応援,おうえん,"aid, assistance, help",JLPT N3
王様,おうさま,king,JLPT N3
王子,おうじ,prince,JLPT N3
応じる,おうじる,"to adapt, to respond, to comply with",JLPT N3
横断,おうだん,crossing,JLPT N3
終える,おえる,to finish,JLPT N3
大いに,おおいに,"much, considerably (same as 大変 (たいへん)), greatly",JLPT N3
覆う,おおう,"to cover, to hide, to conceal",JLPT N3
大家,おおや,landlord,JLPT N3
丘,おか,"hill, height",JLPT N3
沖,おき,open sea,JLPT N3
奥,おく,"interior, inner part",JLPT N3
贈る,おくる,"to present, to give to, to award to",JLPT N3
起こる,おこる,"to occur, to happen",JLPT N3
押える,おさえる,"to stop, to restrain, to press down",JLPT N3
幼い,おさない,"very young, childish",JLPT N3
収める,おさめる,"to store to pay, to supply",JLPT N3
納める,おさめる,"to store to pay, to supply",JLPT N3
治める,おさめる,"to govern, to manage; to subdue",JLPT N3
お辞儀,おじぎ,bow,JLPT N3
お洒落,おしゃれ,"smartly dressed, fashion-conscious",JLPT N3
お喋り,おしゃべり,"chattering, talk",JLPT N3
汚染,おせん,"pollution, contamination",JLPT N3
恐らく,おそらく,perhaps,JLPT N3
恐れる,おそれる,"to fear, to be afraid of",JLPT N3
恐ろしい,おそろしい,"terrible, dreadful",JLPT N3
教わる,おそわる,to be taught,JLPT N3
お互い,おたがい,"mutual, reciprocal, each other",JLPT N3
穏やか,おだやか,"calm, gentle, quiet",JLPT N3
男の人,おとこのひと,man,JLPT N3
大人しい,おとなしい,"obedient, docile, quiet",JLPT N3
劣る,おとる,"to fall behind, to be inferior to",JLPT N3
鬼,おに,"ogre, demon, 'it' (e.g.,in a game of tag)",JLPT N3
帯,おび,"band, sash",JLPT N3
お昼,おひる,"lunch, noon",JLPT N3
オフィス,オフィス,office,JLPT N3
溺れる,おぼれる,"to be drowned, to indulge in",JLPT N3
お前,おまえ,"you (sing), presence (of a high personage)",JLPT N3
おめでとう,おめでとう,"Congratulations!, an auspicious occasion!",JLPT N3
お目に掛かる,おめにかかる,"meet ~, see ~",JLPT N3
思い付く,おもいつく,"to think of, to hit upon",JLPT N3
思い出,おもいで,"memories, recollections, reminiscence",JLPT N3
主に,おもに,"mainly, primarily",JLPT N3
思わず,おもわず,"unintentional, spontaneous",JLPT N3
泳ぎ,およぎ,swimming,JLPT N3
およそ,およそ,"about, roughly, approximately",JLPT N3
及ぼす,およぼす,"to exert, to cause, to exercise",JLPT N3
下す,おろす,"to lower, to let go down",JLPT N3
降ろす,おろす,"to take down, to launch, to drop",JLPT N3
卸す,おろす,"to sell wholesale, grated (vegetables)",JLPT N3
音,おん,"sound, note",JLPT N3
恩,おん,"favor, obligation, debt of gratitude",JLPT N3
温暖,おんだん,warmth,JLPT N3
温度,おんど,temperature,JLPT N3
可,か,passable,JLPT N3
蚊,か,mosquito,JLPT N3
課,か,"department, division",JLPT N3
カー,カー,car,JLPT N3
カード,カード,"card, curd",JLPT N3
貝,かい,"shell, shellfish",JLPT N3
害,がい,"harm, damage",JLPT N3
会員,かいいん,"member, the membership",JLPT N3
絵画,かいが,"picture, painting",JLPT N3
海外,かいがい,"foreign, abroad, overseas",JLPT N3
会計,かいけい,"account, finance",JLPT N3
解決,かいけつ,"settlement, solution, resolution",JLPT N3
会合,かいごう,"meeting, assembly",JLPT N3
外交,がいこう,diplomacy,JLPT N3
開始,かいし,"start, commencement, beginning",JLPT N3
解釈,かいしゃく,"explanation, interpretation",JLPT N3
外出,がいしゅつ,"outing, going out",JLPT N3
改善,かいぜん,"betterment, improvement",JLPT N3
快適,かいてき,"pleasant, agreeable",JLPT N3
回復,かいふく,"recovery (from illness), rehabilitation, restoration",JLPT N3
飼う,かう,to keep; to own (a pet); to raise; to feed,JLPT N3
帰す,かえす,to send back,JLPT N3
代える,かえる,"to exchange, to interchange, to substitute",JLPT N3
替える,かえる,"to exchange, to interchange, to substitute",JLPT N3
換える,かえる,"to exchange, to interchange, to substitute",JLPT N3
反る,かえる,"to warp, to be warped, to curve",JLPT N3
香り,かおり,"aroma, fragrance",JLPT N3
画家,がか,painter,JLPT N3
抱える,かかえる,to hold or carry under or in the arms,JLPT N3
価格,かかく,"price, value",JLPT N3
化学,かがく,chemistry,JLPT N3
輝く,かがやく,"to shine, to glitter, to sparkle",JLPT N3
係,かかり,person in charge,JLPT N3
罹る,かかる,to suffer from,JLPT N3
限る,かぎる,"to restrict, to limit, to confine",JLPT N3
掻く,かく,to scratch,JLPT N3
描く,かく,"to draw, to depict, to describe",JLPT N3
嗅ぐ,かぐ,"to sniff, to smell",JLPT N3
